2018-05-25 09:00:02.661935     | custom:v12           | running    |  742.39 | #1 | running    | 1.5%  |  184.29 | #2 | running    | 1.0%  |  606.02 | #3 | running    | 1.5%  | 2179.23 | #4 | running    | 1.5%  |    0.00 | #5 | starting   | N/A   | pending
2018-05-25 09:05:02.916625     | custom:v12           | running    |  515.78 | #1 | running    | 2.7%  |  134.67 | #2 | running    | 2.8%  |  952.53 | #3 | running    | 2.9%  |  923.46 | #4 | running    | 2.7%  |   52.45 | #5 | starting   | N/A   | pending
2018-05-25 09:10:03.206504     | custom:v12           | running    |  601.82 | #1 | running    | 3.7%  |  250.66 | #2 | running    | 3.9%  |  675.03 | #3 | running    | 4.0%  | 1207.68 | #4 | running    | 4.0%  |  620.73 | #5 | running    | 2.0%  |  254.99
2018-05-25 09:15:02.479300     | custom:v12           | running    |  863.72 | #1 | running    | 5.1%  |  867.51 | #2 | running    | 5.0%  |  982.91 | #3 | running    | 5.2%  | 1380.17 | #4 | running    | 5.1%  |  875.50 | #5 | running    | 2.9%  |  212.52
2018-05-25 09:20:02.765755     | custom:v12           | running    | 1127.08 | #1 | running    | 6.0%  | 1704.48 | #2 | running    | 6.0%  | 1196.83 | #3 | running    | 6.2%  | 1520.00 | #4 | running    | 6.0%  |  988.06 | #5 | running    | 4.2%  |  226.04
2018-05-25 09:25:03.006713     | custom:v12           | running    | 1273.39 | #1 | running    | 6.9%  | 2024.92 | #2 | running    | 6.9%  | 1340.36 | #3 | running    | 7.1%  | 1606.94 | #4 | running    | 7.3%  |  989.57 | #5 | running    | 5.1%  |  405.18
2018-05-25 09:30:02.391141     | custom:v12           | running    | 1329.92 | #1 | running    | 8.2%  | 1875.75 | #2 | running    | 8.1%  | 1516.60 | #3 | running    | 8.0%  | 1664.94 | #4 | running    | 8.1%  | 1027.94 | #5 | running    | 6.1%  |  564.39
2018-05-25 09:35:02.772408     | custom:v12           | running    | 1410.21 | #1 | running    | 9.1%  | 1822.97 | #2 | running    | 9.3%  | 1612.17 | #3 | running    | 9.1%  | 1744.87 | #4 | running    | 9.3%  | 1089.27 | #5 | running    | 7.3%  |  781.79
2018-05-25 09:40:03.006240     | custom:v12           | running    | 1484.83 | #1 | running    | 10.5% | 1670.79 | #2 | running    | 10.4% | 1719.30 | #3 | running    | 10.2% | 1847.40 | #4 | running    | 10.6% | 1184.11 | #5 | running    | 8.3%  | 1002.56
2018-05-25 09:45:02.455144     | custom:v12           | running    | 1605.84 | #1 | running    | 11.3% | 2085.01 | #2 | running    | 11.3% | 1820.31 | #3 | running    | 11.7% | 1882.28 | #4 | running    | 11.5% | 1173.57 | #5 | running    | 9.3%  | 1068.01
2018-05-25 09:50:02.759038     | custom:v12           | running    | 1657.27 | #1 | running    | 12.3% | 2204.70 | #2 | running    | 12.4% | 1921.69 | #3 | running    | 12.6% | 1841.85 | #4 | running    | 12.7% | 1184.79 | #5 | running    | 10.0% | 1133.33
2018-05-25 09:55:03.029869     | custom:v12           | running    | 1757.75 | #1 | running    | 13.8% | 2417.54 | #2 | running    | 13.5% | 2018.40 | #3 | running    | 13.9% | 1897.24 | #4 | running    | 13.9% | 1194.21 | #5 | running    | 11.3% | 1261.35
2018-05-25 10:00:02.356673     | custom:v12           | running    | 1895.85 | #1 | running    | 14.4% | 2986.22 | #2 | running    | 14.4% | 2032.51 | #3 | running    | 14.8% | 1928.31 | #4 | running    | 15.2% | 1234.36 | #5 | running    | 12.0% | 1297.84
2018-05-25 10:05:02.601186     | custom:v12           | running    | 1948.65 | #1 | running    | 15.9% | 3086.09 | #2 | running    | 15.3% | 2057.76 | #3 | running    | 15.9% | 2030.76 | #4 | running    | 16.0% | 1256.82 | #5 | running    | 13.3% | 1311.82
2018-05-25 10:10:02.887870     | custom:v12           | running    | 2086.45 | #1 | running    | 16.8% | 3614.74 | #2 | running    | 16.8% | 2087.36 | #3 | running    | 17.0% | 2160.35 | #4 | running    | 17.3% | 1261.44 | #5 | running    | 14.4% | 1308.34
