2018-05-25 23:40:02.495666     | rainbow:v1           | running    |  359.35 | #1 | running    | 2.0%  |    0.00 | #2 | running    | 1.6%  |   -0.00 | #3 | starting   | N/A   | pending | #4 | running    | 1.8%  | 1427.91 | #5 | running    | 1.5%  |    9.51
2018-05-25 23:45:02.760644     | rainbow:v1           | running    |  773.13 | #1 | running    | 2.8%  |   45.50 | #2 | running    | 3.0%  | 1544.72 | #3 | running    | 1.1%  |  944.98 | #4 | running    | 3.0%  | 1205.10 | #5 | running    | 2.8%  |  125.34
2018-05-25 23:50:03.337558     | rainbow:v1           | running    | 1255.75 | #1 | running    | 4.1%  | 1021.24 | #2 | running    | 4.1%  | 1893.27 | #3 | running    | 2.5%  | 1125.73 | #4 | running    | 4.1%  | 1231.57 | #5 | running    | 4.0%  | 1006.95
2018-05-25 23:55:02.563841     | rainbow:v1           | running    | 1668.96 | #1 | running    | 5.0%  | 3159.40 | #2 | running    | 5.2%  | 2064.37 | #3 | running    | 3.7%  |  660.22 | #4 | running    | 5.0%  | 1283.57 | #5 | running    | 5.0%  | 1177.22
2018-05-26 00:00:02.820372     | rainbow:v1           | running    | 1663.15 | #1 | running    | 5.9%  | 2960.80 | #2 | running    | 6.2%  | 2132.11 | #3 | running    | 4.5%  |  621.14 | #4 | running    | 6.0%  | 1365.99 | #5 | running    | 6.1%  | 1235.72
2018-05-26 00:05:03.043004     | rainbow:v1           | running    | 1677.12 | #1 | running    | 7.3%  | 2795.66 | #2 | running    | 7.4%  | 2222.58 | #3 | running    | 5.6%  |  670.06 | #4 | running    | 7.4%  | 1393.96 | #5 | running    | 6.8%  | 1303.33
2018-05-26 00:10:02.260834     | rainbow:v1           | running    | 1668.93 | #1 | running    | 8.4%  | 2593.85 | #2 | running    | 8.5%  | 2290.78 | #3 | running    | 6.7%  |  741.68 | #4 | running    | 8.4%  | 1425.77 | #5 | running    | 7.8%  | 1292.58
2018-05-26 00:15:02.521441     | rainbow:v1           | running    | 1791.87 | #1 | running    | 9.5%  | 2997.07 | #2 | running    | 9.6%  | 2341.31 | #3 | running    | 7.7%  |  837.29 | #4 | running    | 9.3%  | 1467.54 | #5 | running    | 9.3%  | 1316.16
2018-05-26 00:20:02.755849     | rainbow:v1           | running    | 1896.32 | #1 | running    | 10.5% | 3348.59 | #2 | running    | 10.8% | 2368.99 | #3 | running    | 8.9%  |  905.33 | #4 | running    | 10.3% | 1510.15 | #5 | running    | 10.2% | 1348.54
2018-05-26 00:25:03.125533     | rainbow:v1           | running    | 1998.66 | #1 | running    | 11.4% | 3714.29 | #2 | running    | 11.9% | 2374.70 | #3 | running    | 9.8%  |  961.89 | #4 | running    | 11.4% | 1565.12 | #5 | running    | 11.3% | 1377.31
2018-05-26 00:30:02.356807     | rainbow:v1           | running    | 2087.97 | #1 | running    | 12.7% | 4029.23 | #2 | running    | 12.8% | 2375.29 | #3 | running    | 11.2% | 1016.53 | #4 | running    | 12.7% | 1617.80 | #5 | running    | 12.3% | 1401.00
2018-05-26 00:35:02.587896     | rainbow:v1           | running    | 2177.94 | #1 | running    | 13.4% | 4277.57 | #2 | running    | 14.1% | 2376.06 | #3 | running    | 12.1% | 1085.19 | #4 | running    | 13.6% | 1654.29 | #5 | running    | 13.5% | 1496.59
2018-05-26 00:40:02.844515     | rainbow:v1           | running    | 2221.86 | #1 | running    | 14.5% | 4358.48 | #2 | running    | 15.1% | 2380.85 | #3 | running    | 13.1% | 1145.46 | #4 | running    | 15.0% | 1704.26 | #5 | running    | 14.5% | 1520.26
2018-05-26 00:45:03.077758     | rainbow:v1           | running    | 2306.63 | #1 | running    | 15.9% | 4630.83 | #2 | running    | 16.0% | 2388.17 | #3 | running    | 14.1% | 1202.67 | #4 | running    | 15.9% | 1734.91 | #5 | running    | 15.6% | 1576.57
2018-05-26 00:50:02.304884     | rainbow:v1           | running    | 2434.15 | #1 | running    | 17.0% | 5103.55 | #2 | running    | 17.5% | 2401.82 | #3 | running    | 15.2% | 1264.75 | #4 | running    | 16.8% | 1751.99 | #5 | running    | 16.7% | 1648.62
2018-05-26 00:55:02.531716     | rainbow:v1           | running    | 2523.17 | #1 | running    | 18.0% | 5353.95 | #2 | running    | 18.6% | 2411.37 | #3 | running    | 16.4% | 1320.32 | #4 | running    | 18.1% | 1791.88 | #5 | running    | 17.6% | 1738.34
2018-05-26 01:00:02.750365     | rainbow:v1           | running    | 2587.28 | #1 | running    | 19.0% | 5498.88 | #2 | running    | 19.7% | 2417.35 | #3 | running    | 17.2% | 1395.79 | #4 | running    | 19.0% | 1816.62 | #5 | running    | 18.5% | 1807.76
