2018-05-26 07:55:02.780969     | custom:v13           | running    |  261.12 | #1 | running    | 2.3%  |    2.08 | #2 | running    | 2.3%  |   22.88 | #3 | running    | 2.3%  |    0.00 | #4 | running    | 2.3%  |    0.00 | #5 | running    | 2.5%  | 1280.63
2018-05-26 08:00:03.000693     | custom:v13           | running    |  419.96 | #1 | running    | 3.2%  |    2.97 | #2 | running    | 3.6%  |  208.07 | #3 | running    | 3.6%  |    0.00 | #4 | running    | 3.5%  |  529.66 | #5 | running    | 3.5%  | 1359.10
2018-05-26 08:05:02.415680     | custom:v13           | running    |  657.90 | #1 | running    | 4.5%  |    5.01 | #2 | running    | 4.6%  | 1040.80 | #3 | running    | 4.5%  |    0.00 | #4 | running    | 4.5%  |  845.15 | #5 | running    | 4.6%  | 1398.52
2018-05-26 08:10:02.789374     | custom:v13           | running    |  761.19 | #1 | running    | 5.4%  |    5.59 | #2 | running    | 5.6%  | 1415.31 | #3 | running    | 5.4%  |    0.00 | #4 | running    | 5.6%  |  963.42 | #5 | running    | 5.6%  | 1421.61
2018-05-26 08:15:03.058843     | custom:v13           | running    |  845.14 | #1 | running    | 6.3%  |    9.05 | #2 | running    | 6.6%  | 1684.33 | #3 | running    | 6.8%  |    0.00 | #4 | running    | 6.6%  | 1002.32 | #5 | running    | 6.7%  | 1529.99
2018-05-26 08:20:02.322395     | custom:v13           | running    |  946.53 | #1 | running    | 7.7%  |  357.80 | #2 | running    | 7.7%  | 1788.09 | #3 | running    | 7.7%  |    0.00 | #4 | running    | 7.9%  | 1029.69 | #5 | running    | 7.7%  | 1557.08
2018-05-26 08:25:02.599103     | custom:v13           | running    | 1104.00 | #1 | running    | 8.6%  |  834.56 | #2 | running    | 8.7%  | 1960.59 | #3 | running    | 9.0%  |    0.00 | #4 | running    | 8.9%  | 1048.71 | #5 | running    | 8.8%  | 1676.16
2018-05-26 08:30:02.838675     | custom:v13           | running    | 1297.31 | #1 | running    | 9.7%  | 1462.04 | #2 | running    | 9.8%  | 2167.05 | #3 | running    | 9.9%  |    0.00 | #4 | running    | 10.1% | 1086.59 | #5 | running    | 9.7%  | 1770.84
2018-05-26 08:35:03.079478     | custom:v13           | running    | 1327.04 | #1 | running    | 11.0% | 1389.91 | #2 | running    | 10.9% | 2264.47 | #3 | running    | 11.3% |    0.00 | #4 | running    | 11.1% | 1116.10 | #5 | running    | 10.7% | 1864.72
2018-05-26 08:40:02.316999     | custom:v13           | running    | 1352.39 | #1 | running    | 11.9% | 1347.44 | #2 | running    | 12.3% | 2354.85 | #3 | running    | 12.2% |    2.07 | #4 | running    | 12.1% | 1138.67 | #5 | running    | 11.9% | 1918.92
2018-05-26 08:45:02.587975     | custom:v13           | running    | 1396.63 | #1 | running    | 12.8% | 1310.21 | #2 | running    | 13.3% | 2431.59 | #3 | running    | 13.5% |   88.61 | #4 | running    | 13.4% | 1170.76 | #5 | running    | 12.7% | 1981.98
2018-05-26 08:50:02.825916     | custom:v13           | running    | 1542.88 | #1 | running    | 14.2% | 1671.59 | #2 | running    | 14.3% | 2451.14 | #3 | running    | 14.6% |  352.87 | #4 | running    | 14.4% | 1195.41 | #5 | running    | 13.8% | 2043.39
2018-05-26 08:55:03.061991     | custom:v13           | running    | 1911.77 | #1 | running    | 15.3% | 3396.55 | #2 | running    | 15.3% | 2463.01 | #3 | running    | 15.7% |  383.21 | #4 | running    | 15.2% | 1210.71 | #5 | running    | 15.0% | 2105.35
2018-05-26 09:00:02.334275     | custom:v13           | running    | 2099.62 | #1 | running    | 16.4% | 4243.47 | #2 | running    | 16.4% | 2475.41 | #3 | running    | 16.8% |  392.56 | #4 | running    | 16.6% | 1239.27 | #5 | running    | 15.9% | 2147.39
2018-05-26 09:05:02.580395     | custom:v13           | running    | 2265.17 | #1 | running    | 17.5% | 4985.61 | #2 | running    | 17.3% | 2487.98 | #3 | running    | 17.9% |  396.85 | #4 | running    | 17.5% | 1257.69 | #5 | running    | 17.0% | 2197.72
2018-05-26 09:10:02.803873     | custom:v13           | running    | 2419.05 | #1 | running    | 18.6% | 5618.75 | #2 | running    | 18.8% | 2500.61 | #3 | running    | 18.6% |  402.78 | #4 | running    | 18.8% | 1284.44 | #5 | running    | 18.0% | 2288.66
2018-05-26 09:15:03.070229     | custom:v13           | running    | 2529.02 | #1 | running    | 19.7% | 6034.19 | #2 | running    | 19.7% | 2510.82 | #3 | running    | 20.0% |  423.69 | #4 | running    | 19.7% | 1301.72 | #5 | running    | 19.2% | 2374.66
2018-05-26 09:20:02.343018     | custom:v13           | running    | 2608.41 | #1 | running    | 20.7% | 6316.88 | #2 | running    | 20.7% | 2520.23 | #3 | running    | 20.9% |  435.04 | #4 | running    | 20.6% | 1329.18 | #5 | running    | 20.1% | 2440.71
2018-05-26 09:25:02.609012     | custom:v13           | running    | 2663.71 | #1 | running    | 21.8% | 6478.43 | #2 | running    | 21.7% | 2525.53 | #3 | running    | 22.0% |  465.22 | #4 | running    | 22.0% | 1352.50 | #5 | running    | 21.1% | 2496.85
2018-05-26 09:30:02.853139     | custom:v13           | running    | 2719.29 | #1 | running    | 22.8% | 6656.85 | #2 | running    | 23.1% | 2532.81 | #3 | running    | 23.4% |  479.03 | #4 | running    | 22.9% | 1366.57 | #5 | running    | 22.1% | 2561.17
2018-05-26 09:35:03.127639     | custom:v13           | running    | 2754.84 | #1 | running    | 23.9% | 6714.30 | #2 | running    | 23.8% | 2559.96 | #3 | running    | 24.5% |  491.93 | #4 | running    | 24.3% | 1388.54 | #5 | running    | 23.1% | 2619.47
2018-05-26 09:40:02.396435     | custom:v13           | running    | 2797.09 | #1 | running    | 25.0% | 6840.99 | #2 | running    | 25.2% | 2566.02 | #3 | running    | 25.4% |  506.99 | #4 | running    | 25.2% | 1402.87 | #5 | running    | 24.2% | 2668.57
2018-05-26 09:45:02.623228     | custom:v13           | running    | 2836.91 | #1 | running    | 26.1% | 6940.96 | #2 | running    | 26.2% | 2572.93 | #3 | running    | 26.4% |  540.55 | #4 | running    | 26.5% | 1422.13 | #5 | running    | 25.1% | 2707.98
2018-05-26 09:50:02.873920     | custom:v13           | running    | 2863.53 | #1 | running    | 27.2% | 6985.54 | #2 | running    | 27.1% | 2578.19 | #3 | running    | 27.6% |  565.25 | #4 | running    | 27.4% | 1433.34 | #5 | running    | 26.2% | 2755.33
2018-05-26 09:55:03.143574     | custom:v13           | running    | 2882.40 | #1 | running    | 27.8% | 7003.68 | #2 | running    | 28.5% | 2585.26 | #3 | running    | 28.6% |  588.48 | #4 | running    | 28.8% | 1448.88 | #5 | running    | 27.1% | 2785.70
2018-05-26 10:00:02.360414     | custom:v13           | running    | 2908.29 | #1 | running    | 29.0% | 7021.19 | #2 | running    | 29.4% | 2595.88 | #3 | running    | 30.0% |  644.39 | #4 | running    | 29.7% | 1461.28 | #5 | running    | 28.1% | 2818.70
2018-05-26 10:05:02.590095     | custom:v13           | running    | 2927.97 | #1 | running    | 30.4% | 7033.11 | #2 | running    | 30.8% | 2599.89 | #3 | running    | 31.0% |  676.67 | #4 | running    | 31.0% | 1473.79 | #5 | running    | 29.4% | 2856.42
2018-05-26 10:10:02.801190     | custom:v13           | running    | 2952.01 | #1 | running    | 31.4% | 7087.75 | #2 | running    | 31.7% | 2598.20 | #3 | running    | 32.1% |  709.31 | #4 | running    | 32.0% | 1485.64 | #5 | running    | 30.4% | 2879.15
2018-05-26 10:15:03.073945     | custom:v13           | running    | 2968.19 | #1 | running    | 32.4% | 7129.74 | #2 | running    | 32.6% | 2601.60 | #3 | running    | 32.9% |  718.05 | #4 | running    | 32.9% | 1496.62 | #5 | running    | 31.1% | 2894.94
2018-05-26 10:20:02.329781     | custom:v13           | running    | 2980.46 | #1 | running    | 33.6% | 7128.44 | #2 | running    | 34.0% | 2614.31 | #3 | running    | 34.3% |  728.51 | #4 | running    | 34.2% | 1511.88 | #5 | running    | 32.2% | 2919.15
2018-05-26 10:25:02.596372     | custom:v13           | running    | 2989.13 | #1 | running    | 34.5% | 7140.55 | #2 | running    | 35.1% | 2610.44 | #3 | running    | 35.2% |  735.21 | #4 | running    | 35.1% | 1519.88 | #5 | running    | 33.3% | 2939.57
2018-05-26 10:30:02.824975     | custom:v13           | running    | 3000.34 | #1 | running    | 35.8% | 7146.23 | #2 | running    | 36.1% | 2612.97 | #3 | running    | 36.4% |  747.61 | #4 | running    | 36.5% | 1535.00 | #5 | running    | 34.4% | 2959.90
