2018-05-28 00:30:02.469041     | custom:v18           | running    | 1872.24 | #1 | running    | N/A   | pending | #2 | running    | 1.1%  | 1872.24 | #3 | running    | N/A   | pending | #4 | starting   | N/A   | pending | #5 | running    | N/A   | pending
2018-05-28 00:35:02.749497     | custom:v18           | running    |  737.26 | #1 | running    | 2.3%  |  727.40 | #2 | running    | 2.8%  | 1374.00 | #3 | rebooting  |       | pending | #4 | running    | 2.1%  |  389.22 | #5 | running    | 2.2%  |  458.41
2018-05-28 00:40:02.958860     | custom:v18           | running    |  769.29 | #1 | running    | 3.2%  |  746.30 | #2 | running    | 3.9%  |  936.70 | #3 | starting   | N/A   | pending | #4 | running    | 2.8%  |  836.70 | #5 | running    | 3.7%  |  557.45
2018-05-28 00:45:03.230691     | custom:v18           | running    |  849.98 | #1 | running    | 4.6%  |  928.42 | #2 | running    | 5.0%  | 1105.33 | #3 | running    | 2.0%  |   87.00 | #4 | running    | 4.2%  | 1150.83 | #5 | running    | 4.7%  |  978.31
2018-05-28 00:50:02.491469     | custom:v18           | running    | 1010.79 | #1 | running    | 5.5%  |  991.07 | #2 | running    | 5.7%  | 1317.80 | #3 | running    | 3.0%  |  420.01 | #4 | running    | 5.2%  | 1196.29 | #5 | running    | 5.6%  | 1128.78
2018-05-28 00:55:02.878533     | custom:v18           | running    | 1135.11 | #1 | running    | 6.5%  |  892.54 | #2 | running    | 7.2%  | 1707.32 | #3 | running    | 4.0%  |  414.51 | #4 | running    | 6.3%  | 1331.13 | #5 | running    | 7.0%  | 1330.04
2018-05-28 01:00:03.165219     | custom:v18           | running    | 1181.80 | #1 | running    | 7.4%  |  901.06 | #2 | running    | 8.4%  | 1853.83 | #3 | running    | 4.9%  |  412.90 | #4 | running    | 7.5%  | 1422.03 | #5 | running    | 8.1%  | 1319.19
2018-05-28 01:05:02.403491     | custom:v18           | running    | 1226.08 | #1 | running    | 8.8%  |  898.95 | #2 | running    | 9.3%  | 1957.19 | #3 | running    | 5.9%  |  435.79 | #4 | running    | 8.4%  | 1480.86 | #5 | running    | 9.2%  | 1357.61
2018-05-28 01:10:02.663615     | custom:v18           | running    | 1268.11 | #1 | running    | 9.7%  |  897.01 | #2 | running    | 10.4% | 2074.18 | #3 | running    | 6.8%  |  464.22 | #4 | running    | 9.4%  | 1530.55 | #5 | running    | 10.3% | 1374.59
2018-05-28 01:15:02.936457     | custom:v18           | running    | 1316.97 | #1 | running    | 10.6% |  887.98 | #2 | running    | 11.5% | 2208.19 | #3 | running    | 8.2%  |  489.39 | #4 | running    | 10.7% | 1599.58 | #5 | running    | 11.3% | 1399.73
2018-05-28 01:20:03.227955     | custom:v18           | running    | 1346.83 | #1 | running    | 11.9% |  867.83 | #2 | running    | 12.5% | 2276.05 | #3 | running    | 9.1%  |  506.01 | #4 | running    | 11.6% | 1636.15 | #5 | running    | 12.5% | 1448.11
