2018-05-27 08:50:02.915272     | custom:v16           | running    |  801.81 | #1 | running    | 2.0%  |  263.05 | #2 | running    | 1.5%  |   -0.00 | #3 | running    | 2.3%  | 2535.16 | #4 | running    | 2.5%  |  845.46 | #5 | running    | 2.5%  |  365.39
2018-05-27 08:55:03.353781     | custom:v16           | running    |  831.43 | #1 | running    | 3.1%  |  324.92 | #2 | running    | 2.8%  | 1075.67 | #3 | running    | 3.3%  |  900.34 | #4 | running    | 3.4%  | 1071.89 | #5 | running    | 3.6%  |  784.35
2018-05-27 09:00:02.564818     | custom:v16           | running    |  977.52 | #1 | running    | 4.1%  |  809.19 | #2 | running    | 3.9%  |  742.08 | #3 | running    | 4.4%  | 1008.70 | #4 | running    | 4.5%  | 1182.60 | #5 | running    | 4.6%  | 1145.03
2018-05-27 09:05:02.831508     | custom:v16           | running    | 1100.94 | #1 | running    | 5.0%  |  825.89 | #2 | running    | 4.7%  |  991.11 | #3 | running    | 5.4%  | 1179.73 | #4 | running    | 5.8%  | 1277.08 | #5 | running    | 5.7%  | 1230.88
2018-05-27 09:10:03.497377     | custom:v16           | running    | 1177.50 | #1 | running    | 6.4%  |  935.19 | #2 | running    | 5.7%  | 1073.51 | #3 | running    | 6.6%  | 1281.09 | #4 | running    | 6.8%  | 1320.86 | #5 | running    | 6.8%  | 1276.88
2018-05-27 09:15:02.680224     | custom:v16           | running    | 1206.86 | #1 | running    | 7.3%  |  954.80 | #2 | running    | 6.6%  | 1081.64 | #3 | running    | 7.6%  | 1363.11 | #4 | running    | 8.0%  | 1326.42 | #5 | running    | 7.9%  | 1308.33
2018-05-27 09:20:02.907043     | custom:v16           | running    | 1254.36 | #1 | running    | 8.7%  |  930.72 | #2 | running    | 7.9%  | 1198.61 | #3 | running    | 8.9%  | 1477.16 | #4 | running    | 9.1%  | 1360.94 | #5 | running    | 9.0%  | 1304.36
2018-05-27 09:25:03.308427     | custom:v16           | running    | 1298.51 | #1 | running    | 9.6%  |  923.88 | #2 | running    | 8.5%  | 1335.74 | #3 | running    | 9.8%  | 1549.67 | #4 | running    | 10.0% | 1373.68 | #5 | running    | 10.1% | 1309.58
2018-05-27 09:30:02.599088     | custom:v16           | running    | 1379.69 | #1 | running    | 10.5% |  917.09 | #2 | running    | 9.9%  | 1580.38 | #3 | running    | 11.1% | 1673.45 | #4 | running    | 11.4% | 1418.72 | #5 | running    | 11.2% | 1308.82
2018-05-27 09:35:02.886145     | custom:v16           | running    | 1438.74 | #1 | running    | 11.8% |  917.99 | #2 | running    | 10.6% | 1669.16 | #3 | running    | 12.2% | 1866.50 | #4 | running    | 12.3% | 1444.57 | #5 | running    | 12.2% | 1295.49
2018-05-27 09:40:03.320698     | custom:v16           | running    | 1511.20 | #1 | running    | 13.0% | 1089.05 | #2 | running    | 11.8% | 1741.77 | #3 | running    | 13.3% | 1971.35 | #4 | running    | 13.2% | 1454.72 | #5 | running    | 13.4% | 1299.13
2018-05-27 09:45:02.704698     | custom:v16           | running    | 1659.98 | #1 | running    | 14.1% | 1645.74 | #2 | running    | 12.8% | 1814.23 | #3 | running    | 14.2% | 2041.34 | #4 | running    | 14.6% | 1496.38 | #5 | running    | 14.3% | 1302.21
2018-05-27 09:50:02.972680     | custom:v16           | running    | 1748.83 | #1 | running    | 14.9% | 1896.29 | #2 | running    | 13.8% | 1935.67 | #3 | running    | 15.2% | 2061.66 | #4 | running    | 15.5% | 1544.88 | #5 | running    | 15.6% | 1305.63
2018-05-27 09:55:02.330486     | custom:v16           | running    | 1859.63 | #1 | running    | 16.2% | 2343.96 | #2 | running    | 14.5% | 1982.27 | #3 | running    | 16.1% | 2076.11 | #4 | running    | 16.5% | 1577.63 | #5 | running    | 16.7% | 1318.20
2018-05-27 10:00:02.576489     | custom:v16           | running    | 1984.03 | #1 | running    | 17.1% | 2812.31 | #2 | running    | 15.9% | 2053.09 | #3 | running    | 17.5% | 2104.05 | #4 | running    | 17.9% | 1621.60 | #5 | running    | 17.8% | 1329.12
2018-05-27 10:05:02.841075     | custom:v16           | running    | 2117.10 | #1 | running    | 18.4% | 3345.01 | #2 | running    | 16.8% | 2127.42 | #3 | running    | 18.4% | 2116.99 | #4 | running    | 18.9% | 1657.50 | #5 | running    | 18.6% | 1338.58
2018-05-27 10:10:03.295207     | custom:v16           | running    | 2289.69 | #1 | running    | 19.5% | 4042.63 | #2 | running    | 18.1% | 2184.59 | #3 | running    | 19.8% | 2135.80 | #4 | running    | 20.0% | 1746.42 | #5 | running    | 19.5% | 1338.98
2018-05-27 10:15:02.568662     | custom:v16           | running    | 2373.63 | #1 | running    | 20.3% | 4359.67 | #2 | running    | 18.8% | 2227.31 | #3 | running    | 20.7% | 2147.87 | #4 | running    | 20.9% | 1775.89 | #5 | running    | 20.7% | 1357.44
2018-05-27 10:20:02.822490     | custom:v16           | running    | 2506.21 | #1 | running    | 21.6% | 4894.14 | #2 | running    | 20.1% | 2311.49 | #3 | running    | 21.6% | 2166.06 | #4 | running    | 21.9% | 1787.95 | #5 | running    | 21.8% | 1371.39
2018-05-27 10:25:03.463270     | custom:v16           | running    | 2625.85 | #1 | running    | 22.7% | 5347.73 | #2 | running    | 21.1% | 2378.57 | #3 | running    | 22.9% | 2188.99 | #4 | running    | 23.2% | 1806.65 | #5 | running    | 23.2% | 1407.32
2018-05-27 10:30:02.706282     | custom:v16           | running    | 2687.48 | #1 | running    | 23.3% | 5573.58 | #2 | running    | 22.1% | 2416.27 | #3 | running    | 23.9% | 2205.66 | #4 | running    | 24.1% | 1823.54 | #5 | running    | 24.0% | 1418.35
2018-05-27 10:35:02.939107     | custom:v16           | running    | 2771.81 | #1 | running    | 24.8% | 5877.05 | #2 | running    | 23.2% | 2474.42 | #3 | running    | 25.2% | 2230.99 | #4 | running    | 25.5% | 1844.43 | #5 | running    | 25.4% | 1432.18
2018-05-27 10:40:03.508527     | custom:v16           | running    | 2826.21 | #1 | running    | 25.6% | 6042.48 | #2 | running    | 24.3% | 2498.63 | #3 | running    | 26.2% | 2255.87 | #4 | running    | 26.4% | 1864.76 | #5 | running    | 26.5% | 1469.32
2018-05-27 10:45:02.801085     | custom:v16           | running    | 2880.23 | #1 | running    | 26.8% | 6212.62 | #2 | running    | 25.3% | 2507.36 | #3 | running    | 27.1% | 2275.11 | #4 | running    | 27.3% | 1876.85 | #5 | running    | 27.6% | 1529.23
2018-05-27 10:50:03.064455     | custom:v16           | running    | 2931.68 | #1 | running    | 27.9% | 6365.40 | #2 | running    | 26.4% | 2513.53 | #3 | running    | 28.5% | 2291.48 | #4 | running    | 28.6% | 1934.32 | #5 | running    | 28.6% | 1553.66
2018-05-27 10:55:02.301515     | custom:v16           | running    | 2972.83 | #1 | running    | 29.0% | 6504.85 | #2 | running    | 27.1% | 2518.35 | #3 | running    | 29.4% | 2311.77 | #4 | running    | 29.5% | 1943.70 | #5 | running    | 29.7% | 1585.48
2018-05-27 11:00:02.674532     | custom:v16           | running    | 3002.87 | #1 | running    | 30.0% | 6607.96 | #2 | running    | 28.5% | 2522.67 | #3 | running    | 30.4% | 2326.37 | #4 | running    | 30.9% | 1953.03 | #5 | running    | 30.8% | 1604.29
2018-05-27 11:05:03.038271     | custom:v16           | running    | 3029.73 | #1 | running    | 31.1% | 6698.03 | #2 | running    | 29.4% | 2525.59 | #3 | running    | 31.5% | 2349.56 | #4 | running    | 31.8% | 1968.35 | #5 | running    | 31.9% | 1607.11
2018-05-27 11:10:02.327849     | custom:v16           | running    | 3055.25 | #1 | running    | 32.1% | 6778.52 | #2 | running    | 30.3% | 2528.16 | #3 | running    | 32.8% | 2365.42 | #4 | running    | 32.7% | 1973.85 | #5 | running    | 33.2% | 1630.29
2018-05-27 11:15:02.538614     | custom:v16           | running    | 3074.96 | #1 | running    | 33.1% | 6846.24 | #2 | running    | 31.2% | 2533.54 | #3 | running    | 33.9% | 2387.60 | #4 | running    | 34.1% | 1967.76 | #5 | running    | 34.1% | 1639.68
2018-05-27 11:20:02.784029     | custom:v16           | running    | 3093.23 | #1 | running    | 34.2% | 6906.86 | #2 | running    | 32.5% | 2537.32 | #3 | running    | 34.8% | 2398.10 | #4 | running    | 35.0% | 1972.53 | #5 | running    | 35.2% | 1651.33
2018-05-27 11:25:03.153520     | custom:v16           | running    | 3110.23 | #1 | running    | 35.2% | 6951.53 | #2 | running    | 33.4% | 2541.10 | #3 | running    | 36.0% | 2417.45 | #4 | running    | 35.9% | 1971.14 | #5 | running    | 36.5% | 1669.91
2018-05-27 11:30:02.464241     | custom:v16           | running    | 3124.63 | #1 | running    | 36.3% | 6980.08 | #2 | running    | 34.6% | 2542.43 | #3 | running    | 36.9% | 2427.19 | #4 | running    | 37.3% | 1975.68 | #5 | running    | 37.5% | 1697.78
2018-05-27 11:35:02.701736     | custom:v16           | running    | 3157.43 | #1 | running    | 37.4% | 7024.68 | #2 | running    | 35.7% | 2556.18 | #3 | running    | 38.1% | 2446.81 | #4 | running    | 38.3% | 2054.15 | #5 | running    | 38.1% | 1705.33
2018-05-27 11:40:02.988745     | custom:v16           | running    | 3174.50 | #1 | running    | 38.4% | 7067.78 | #2 | running    | 36.6% | 2557.75 | #3 | running    | 39.1% | 2455.94 | #4 | running    | 39.2% | 2075.65 | #5 | running    | 39.8% | 1715.39
2018-05-27 11:45:02.347189     | custom:v16           | running    | 3186.05 | #1 | running    | 39.4% | 7078.86 | #2 | running    | 37.5% | 2559.52 | #3 | running    | 40.3% | 2471.28 | #4 | running    | 40.6% | 2100.25 | #5 | running    | 40.6% | 1720.32
2018-05-27 11:50:02.717546     | custom:v16           | running    | 3201.89 | #1 | running    | 40.4% | 7097.21 | #2 | running    | 38.9% | 2563.21 | #3 | running    | 41.2% | 2482.85 | #4 | running    | 41.7% | 2129.14 | #5 | running    | 41.6% | 1737.02
2018-05-27 11:55:02.980678     | custom:v16           | running    | 3236.82 | #1 | running    | 41.5% | 7130.62 | #2 | running    | 39.9% | 2589.73 | #3 | running    | 42.7% | 2493.07 | #4 | running    | 42.6% | 2209.24 | #5 | running    | 43.1% | 1761.44
2018-05-27 12:00:02.176824     | custom:v16           | running    | 3253.95 | #1 | running    | 42.6% | 7164.40 | #2 | running    | 40.9% | 2588.68 | #3 | running    | 43.8% | 2508.40 | #4 | running    | 43.5% | 2230.28 | #5 | running    | 43.6% | 1777.99
2018-05-27 12:05:02.403515     | custom:v16           | running    | 3259.27 | #1 | running    | 43.6% | 7189.59 | #2 | running    | 42.0% | 2583.89 | #3 | running    | 44.5% | 2514.86 | #4 | running    | 44.6% | 2223.87 | #5 | running    | 44.7% | 1784.13
2018-05-27 12:10:02.631961     | custom:v16           | running    | 3273.80 | #1 | running    | 44.6% | 7203.68 | #2 | running    | 42.6% | 2583.44 | #3 | running    | 45.6% | 2531.91 | #4 | running    | 46.0% | 2235.62 | #5 | running    | 46.4% | 1814.34
2018-05-27 12:15:02.888706     | custom:v16           | running    | 3283.15 | #1 | running    | 45.7% | 7215.41 | #2 | running    | 43.9% | 2584.00 | #3 | running    | 47.1% | 2541.19 | #4 | running    | 47.1% | 2233.24 | #5 | running    | 47.2% | 1841.90
2018-05-27 12:20:03.111678     | custom:v16           | running    | 3292.91 | #1 | running    | 46.8% | 7232.09 | #2 | running    | 45.1% | 2593.26 | #3 | running    | 48.2% | 2552.26 | #4 | running    | 48.0% | 2220.93 | #5 | running    | 48.1% | 1865.99
2018-05-27 12:25:02.380953     | custom:v16           | running    | 3305.50 | #1 | running    | 47.8% | 7250.51 | #2 | running    | 45.9% | 2602.46 | #3 | running    | 49.2% | 2559.08 | #4 | running    | 49.1% | 2238.37 | #5 | running    | 49.6% | 1877.10
2018-05-27 12:30:02.614878     | custom:v16           | running    | 3317.08 | #1 | running    | 48.9% | 7272.91 | #2 | running    | 46.9% | 2614.32 | #3 | running    | 50.2% | 2568.99 | #4 | running    | 50.0% | 2237.43 | #5 | running    | 50.7% | 1891.76
2018-05-27 12:35:02.823038     | custom:v16           | running    | 3324.29 | #1 | running    | 49.9% | 7290.73 | #2 | running    | 48.2% | 2621.42 | #3 | running    | 51.1% | 2575.95 | #4 | running    | 51.4% | 2226.43 | #5 | running    | 51.6% | 1906.91
2018-05-27 12:40:03.061909     | custom:v16           | running    | 3331.06 | #1 | running    | 50.9% | 7300.60 | #2 | running    | 49.3% | 2612.43 | #3 | running    | 52.1% | 2584.82 | #4 | running    | 52.3% | 2225.19 | #5 | running    | 52.8% | 1932.28
2018-05-27 12:45:02.318039     | custom:v16           | running    | 3343.21 | #1 | running    | 51.9% | 7321.10 | #2 | running    | 50.1% | 2606.58 | #3 | running    | 53.5% | 2595.64 | #4 | running    | 53.5% | 2236.68 | #5 | running    | 53.8% | 1956.04
