2018-05-27 16:50:02.358264     | custom:v17           | running    |  354.72 | #1 | rebooting  |       |    0.00 | #2 | rebooting  |       |   10.03 | #3 | errored    |       |    0.00 | #4 | rebooting  |       |  305.10 | #5 | rebooting  |       | 1458.46
2018-05-27 17:00:02.903755     | custom:v17           | running    |   -0.00 | #1 | running    | 1.1%  |   -0.00 | #2 | running    | 2.0%  |    0.00 | #3 | running    | N/A   | pending | #4 | running    | 1.1%  |    0.00 | #5 | running    | 2.0%  |   -0.00
2018-05-27 17:05:03.172840     | custom:v17           | running    |  321.38 | #1 | running    | 2.9%  |  198.23 | #2 | running    | 3.1%  | 1352.63 | #3 | running    | 2.7%  |   55.81 | #4 | running    | 2.7%  |    0.00 | #5 | running    | 3.2%  |    0.25
2018-05-27 17:10:02.394404     | custom:v17           | running    |  412.05 | #1 | running    | 3.8%  |  187.50 | #2 | running    | 4.3%  | 1382.39 | #3 | running    | 3.6%  |   41.86 | #4 | running    | 3.6%  |  448.32 | #5 | running    | 4.1%  |    0.19
2018-05-27 17:15:02.626646     | custom:v17           | running    |  656.21 | #1 | running    | 5.2%  |  244.85 | #2 | running    | 5.4%  | 1591.32 | #3 | running    | 4.9%  |  488.08 | #4 | running    | 5.1%  |  943.85 | #5 | running    | 5.4%  |   12.97
2018-05-27 17:20:02.888450     | custom:v17           | running    |  726.53 | #1 | running    | 6.1%  |  340.42 | #2 | running    | 6.2%  | 1652.23 | #3 | running    | 6.2%  |  548.54 | #4 | running    | 5.8%  | 1023.59 | #5 | running    | 6.3%  |   67.85
2018-05-27 17:25:03.141518     | custom:v17           | running    |  814.15 | #1 | running    | 7.4%  |  570.57 | #2 | running    | 7.5%  | 1739.53 | #3 | running    | 7.0%  |  557.44 | #4 | running    | 7.2%  | 1088.34 | #5 | running    | 7.7%  |  114.88
2018-05-27 17:30:02.437001     | custom:v17           | running    |  871.79 | #1 | running    | 8.8%  |  636.08 | #2 | running    | 8.9%  | 1836.01 | #3 | running    | 8.4%  |  643.45 | #4 | running    | 8.3%  | 1100.96 | #5 | running    | 9.1%  |  142.45
2018-05-27 17:35:02.632298     | custom:v17           | running    |  918.72 | #1 | running    | 9.7%  |  665.05 | #2 | running    | 10.0% | 1929.57 | #3 | running    | 9.3%  |  692.90 | #4 | running    | 9.3%  | 1092.64 | #5 | running    | 10.0% |  213.44
2018-05-27 17:40:02.947026     | custom:v17           | running    |  989.14 | #1 | running    | 11.0% |  707.10 | #2 | running    | 11.1% | 2022.25 | #3 | running    | 10.7% |  763.08 | #4 | running    | 10.8% | 1161.85 | #5 | running    | 11.3% |  291.44
2018-05-27 17:45:03.216731     | custom:v17           | running    | 1083.07 | #1 | running    | 11.9% |  919.80 | #2 | running    | 12.2% | 2186.79 | #3 | running    | 11.6% |  821.47 | #4 | running    | 11.8% | 1164.04 | #5 | running    | 12.2% |  323.23
