2018-05-28 17:55:03.020027     | custom:v21           | running    |  115.85 | #1 | running    | 2.0%  |  463.38 | #2 | running    | 2.0%  |    0.00 | #3 | running    | 2.0%  |    0.00 | #4 | running    | 0.0%  | pending | #5 | running    | 2.0%  |   -0.00
2018-05-28 18:00:02.242276     | custom:v21           | running    |  682.06 | #1 | running    | 3.0%  |  753.29 | #2 | running    | 3.2%  |    0.00 | #3 | running    | 3.3%  |  399.87 | #4 | running    | 2.6%  | 1157.54 | #5 | running    | 3.3%  | 1099.62
2018-05-28 18:05:02.466609     | custom:v21           | running    |  936.13 | #1 | running    | 4.3%  |  937.41 | #2 | running    | 4.5%  | 1149.18 | #3 | running    | 4.5%  |  404.91 | #4 | running    | 3.6%  | 1140.14 | #5 | running    | 4.4%  | 1049.00
2018-05-28 18:10:02.847543     | custom:v21           | running    | 1030.30 | #1 | running    | 5.5%  | 1323.24 | #2 | running    | 5.6%  | 1101.80 | #3 | running    | 5.6%  |  406.45 | #4 | running    | 4.7%  | 1159.07 | #5 | running    | 5.5%  | 1160.94
2018-05-28 18:15:03.122500     | custom:v21           | running    | 1094.89 | #1 | running    | 6.4%  | 1287.67 | #2 | running    | 6.8%  | 1350.16 | #3 | running    | 6.3%  |  406.83 | #4 | running    | 5.6%  | 1198.06 | #5 | running    | 6.6%  | 1231.73
2018-05-28 18:20:02.342665     | custom:v21           | running    | 1181.78 | #1 | running    | 7.8%  | 1253.04 | #2 | running    | 8.0%  | 1706.51 | #3 | running    | 7.7%  |  412.61 | #4 | running    | 6.9%  | 1252.18 | #5 | running    | 7.5%  | 1284.54
2018-05-28 18:25:02.604019     | custom:v21           | running    | 1290.50 | #1 | running    | 8.9%  | 1493.64 | #2 | running    | 9.2%  | 1852.44 | #3 | running    | 8.8%  |  419.79 | #4 | running    | 7.8%  | 1272.63 | #5 | running    | 8.7%  | 1414.03
2018-05-28 18:30:02.842980     | custom:v21           | running    | 1428.14 | #1 | running    | 9.8%  | 1860.68 | #2 | running    | 10.4% | 1949.68 | #3 | running    | 10.2% |  425.15 | #4 | running    | 9.2%  | 1308.20 | #5 | running    | 9.8%  | 1597.01
2018-05-28 18:35:03.213941     | custom:v21           | running    | 1579.05 | #1 | running    | 11.1% | 2330.17 | #2 | running    | 11.4% | 2046.42 | #3 | running    | 11.3% |  447.48 | #4 | running    | 10.1% | 1336.93 | #5 | running    | 10.8% | 1734.25
2018-05-28 18:40:02.575052     | custom:v21           | running    | 1813.18 | #1 | running    | 12.3% | 3237.45 | #2 | running    | 12.5% | 2147.80 | #3 | running    | 12.4% |  477.21 | #4 | running    | 11.2% | 1363.65 | #5 | running    | 11.9% | 1839.81
2018-05-28 18:45:02.780645     | custom:v21           | running    | 1945.84 | #1 | running    | 13.4% | 3625.40 | #2 | running    | 13.9% | 2281.61 | #3 | running    | 13.8% |  499.48 | #4 | running    | 12.5% | 1404.07 | #5 | running    | 13.1% | 1918.65
2018-05-28 18:50:03.001193     | custom:v21           | running    | 2097.24 | #1 | running    | 14.6% | 4137.17 | #2 | running    | 15.0% | 2339.62 | #3 | running    | 14.7% |  510.86 | #4 | running    | 13.4% | 1430.19 | #5 | running    | 14.1% | 2068.37
2018-05-28 18:55:02.272957     | custom:v21           | running    | 2272.52 | #1 | running    | 15.5% | 4733.80 | #2 | running    | 16.3% | 2427.72 | #3 | running    | 16.1% |  526.74 | #4 | running    | 14.9% | 1469.26 | #5 | running    | 15.3% | 2205.11
2018-05-28 19:00:02.509568     | custom:v21           | running    | 2395.72 | #1 | running    | 16.7% | 5199.35 | #2 | running    | 17.4% | 2435.32 | #3 | running    | 17.1% |  542.16 | #4 | running    | 15.8% | 1491.39 | #5 | running    | 16.3% | 2310.36
2018-05-28 19:05:02.746766     | custom:v21           | running    | 2460.38 | #1 | running    | 17.9% | 5393.95 | #2 | running    | 18.3% | 2441.20 | #3 | running    | 18.4% |  555.44 | #4 | running    | 17.1% | 1524.71 | #5 | running    | 17.3% | 2386.62
2018-05-28 19:10:03.103807     | custom:v21           | running    | 2523.63 | #1 | running    | 19.1% | 5575.12 | #2 | running    | 19.7% | 2449.81 | #3 | running    | 19.7% |  569.69 | #4 | running    | 18.0% | 1542.31 | #5 | running    | 18.4% | 2481.23
2018-05-28 19:15:02.352041     | custom:v21           | running    | 2610.61 | #1 | running    | 20.3% | 5879.30 | #2 | running    | 20.9% | 2473.13 | #3 | running    | 20.8% |  591.93 | #4 | running    | 19.4% | 1569.42 | #5 | running    | 19.4% | 2539.28
2018-05-28 19:20:02.563024     | custom:v21           | running    | 2643.65 | #1 | running    | 21.3% | 5853.82 | #2 | running    | 22.2% | 2572.04 | #3 | running    | 21.7% |  600.14 | #4 | running    | 20.3% | 1588.85 | #5 | running    | 20.4% | 2603.40
2018-05-28 19:25:02.785667     | custom:v21           | running    | 2719.73 | #1 | running    | 22.5% | 6067.42 | #2 | running    | 23.3% | 2647.63 | #3 | running    | 23.1% |  614.24 | #4 | running    | 21.6% | 1600.77 | #5 | running    | 21.5% | 2668.61
2018-05-28 19:30:03.071712     | custom:v21           | running    | 2768.35 | #1 | running    | 23.6% | 6129.29 | #2 | running    | 24.5% | 2710.43 | #3 | running    | 24.4% |  627.63 | #4 | running    | 22.7% | 1649.60 | #5 | running    | 22.6% | 2724.80
2018-05-28 19:35:02.415370     | custom:v21           | running    | 2817.16 | #1 | running    | 24.7% | 6214.99 | #2 | running    | 25.5% | 2775.29 | #3 | running    | 25.5% |  652.32 | #4 | running    | 23.6% | 1665.18 | #5 | running    | 23.8% | 2778.02
2018-05-28 19:40:02.583225     | custom:v21           | running    | 2855.49 | #1 | running    | 25.9% | 6264.16 | #2 | running    | 26.9% | 2854.88 | #3 | running    | 26.4% |  658.85 | #4 | running    | 25.0% | 1686.87 | #5 | running    | 24.8% | 2812.68
