2018-05-28 08:40:03.057425     | custom:v19           | running    |  319.57 | #1 | running    | 1.1%  |    0.00 | #2 | running    | 0.6%  | 1278.26 | #3 | running    | N/A   | pending | #4 | running    | 0.6%  |    0.00 | #5 | running    | 0.7%  |   -0.00
2018-05-28 08:45:02.321714     | custom:v19           | running    | 1087.77 | #1 | running    | 2.6%  |   70.25 | #2 | running    | 2.8%  | 1100.63 | #3 | running    | 2.3%  | 3022.98 | #4 | running    | 2.7%  |    0.00 | #5 | running    | 2.6%  | 1244.99
2018-05-28 08:50:02.560864     | custom:v19           | running    | 1020.30 | #1 | running    | 4.0%  |  330.88 | #2 | running    | 3.7%  | 1131.06 | #3 | running    | 3.4%  | 2233.01 | #4 | running    | 3.6%  |    0.00 | #5 | running    | 3.6%  | 1406.55
2018-05-28 08:55:02.837132     | custom:v19           | running    | 1223.18 | #1 | running    | 4.9%  |  646.01 | #2 | running    | 4.6%  | 1134.34 | #3 | running    | 4.8%  | 2124.55 | #4 | running    | 4.9%  |  734.77 | #5 | running    | 4.7%  | 1476.24
2018-05-28 09:00:03.210274     | custom:v19           | running    | 1328.62 | #1 | running    | 5.8%  |  882.78 | #2 | running    | 5.5%  | 1203.26 | #3 | running    | 5.7%  | 2227.92 | #4 | running    | 5.7%  |  882.56 | #5 | running    | 5.6%  | 1446.58
2018-05-28 09:05:02.446976     | custom:v19           | running    | 1384.80 | #1 | running    | 7.1%  |  808.58 | #2 | running    | 6.6%  | 1332.64 | #3 | running    | 6.8%  | 2373.72 | #4 | running    | 6.6%  |  964.65 | #5 | running    | 6.3%  | 1444.40
2018-05-28 09:10:02.715469     | custom:v19           | running    | 1477.13 | #1 | running    | 7.9%  |  869.79 | #2 | running    | 7.8%  | 1600.28 | #3 | running    | 7.9%  | 2361.34 | #4 | running    | 8.1%  | 1092.31 | #5 | running    | 7.6%  | 1461.91
2018-05-28 09:15:02.954069     | custom:v19           | running    | 1589.79 | #1 | running    | 8.8%  | 1124.87 | #2 | running    | 8.8%  | 1764.34 | #3 | running    | 8.8%  | 2402.45 | #4 | running    | 9.1%  | 1170.66 | #5 | running    | 8.4%  | 1486.65
2018-05-28 09:20:03.220363     | custom:v19           | running    | 1594.23 | #1 | running    | 10.2% | 1045.02 | #2 | running    | 9.9%  | 1822.90 | #3 | running    | 10.2% | 2449.87 | #4 | running    | 10.0% | 1185.95 | #5 | running    | 9.6%  | 1467.42
2018-05-28 09:25:02.467159     | custom:v19           | running    | 1657.81 | #1 | running    | 11.1% | 1170.03 | #2 | running    | 10.9% | 1913.54 | #3 | running    | 11.1% | 2483.81 | #4 | running    | 11.1% | 1225.27 | #5 | running    | 10.7% | 1496.40
2018-05-28 09:30:02.809584     | custom:v19           | running    | 1702.11 | #1 | running    | 12.0% | 1160.96 | #2 | running    | 11.6% | 2008.91 | #3 | running    | 12.0% | 2520.77 | #4 | running    | 12.0% | 1262.08 | #5 | running    | 11.7% | 1557.82
