2018-05-27 00:30:03.059946     | custom:v15           | running    |  586.39 | #1 | running    | N/A   | pending | #2 | running    | 1.1%  |    0.00 | #3 | running    | 1.3%  | 2345.57 | #4 | running    | 0.6%  |    0.00 | #5 | running    | 1.1%  |    0.00
2018-05-27 00:35:02.438197     | custom:v15           | running    |  419.67 | #1 | running    | 2.4%  |  303.44 | #2 | running    | 2.7%  |    0.00 | #3 | running    | 2.6%  | 1499.31 | #4 | running    | 2.7%  |    0.00 | #5 | running    | 2.5%  |  295.62
2018-05-27 00:40:02.866729     | custom:v15           | running    |  587.82 | #1 | running    | 3.8%  |  428.30 | #2 | running    | 3.9%  |  283.49 | #3 | running    | 3.9%  | 1371.33 | #4 | running    | 3.6%  |    0.00 | #5 | running    | 3.8%  |  855.98
2018-05-27 00:45:03.290012     | custom:v15           | running    |  844.02 | #1 | running    | 4.7%  |  488.45 | #2 | running    | 4.9%  | 1049.70 | #3 | running    | 5.1%  | 1654.11 | #4 | running    | 4.5%  |    0.00 | #5 | running    | 5.1%  | 1027.85
2018-05-27 00:50:02.526242     | custom:v15           | running    |  961.64 | #1 | running    | 6.0%  |  557.19 | #2 | running    | 6.0%  | 1326.40 | #3 | running    | 6.1%  | 1854.14 | #4 | running    | 5.9%  |    0.00 | #5 | running    | 6.3%  | 1070.45
2018-05-27 00:55:03.129644     | custom:v15           | running    | 1063.06 | #1 | running    | 6.8%  |  691.63 | #2 | running    | 6.9%  | 1564.93 | #3 | running    | 6.9%  | 1906.22 | #4 | running    | 6.8%  |    0.00 | #5 | running    | 7.3%  | 1152.52
2018-05-27 01:00:02.369962     | custom:v15           | running    | 1141.62 | #1 | running    | 8.1%  |  747.56 | #2 | running    | 8.0%  | 1728.52 | #3 | running    | 8.4%  | 2022.88 | #4 | running    | 7.7%  |    0.00 | #5 | running    | 8.4%  | 1209.14
2018-05-27 01:05:02.599399     | custom:v15           | running    | 1211.19 | #1 | running    | 9.0%  |  751.68 | #2 | running    | 9.2%  | 1912.28 | #3 | running    | 9.5%  | 2111.03 | #4 | running    | 8.6%  |    0.00 | #5 | running    | 9.2%  | 1280.97
2018-05-27 01:10:03.237194     | custom:v15           | running    | 1251.76 | #1 | running    | 10.4% |  761.89 | #2 | running    | 10.2% | 1987.52 | #3 | running    | 10.6% | 2210.20 | #4 | running    | 9.9%  |    0.00 | #5 | running    | 10.3% | 1299.20
2018-05-27 01:15:02.492981     | custom:v15           | running    | 1285.12 | #1 | running    | 11.3% |  773.76 | #2 | running    | 11.3% | 2071.38 | #3 | running    | 11.6% | 2249.79 | #4 | running    | 10.8% |    0.00 | #5 | running    | 11.4% | 1330.66
2018-05-27 01:20:02.930553     | custom:v15           | running    | 1323.87 | #1 | running    | 12.6% |  779.09 | #2 | running    | 12.0% | 2097.88 | #3 | running    | 12.5% | 2363.65 | #4 | running    | 11.7% |    0.23 | #5 | running    | 12.7% | 1378.48
