2018-05-29 01:50:03.011064     | custom:v22           | running    |  866.15 | #1 | running    | 2.6%  |  216.58 | #2 | running    | 2.6%  | 1442.56 | #3 | running    | 2.9%  | 1552.29 | #4 | running    | 2.3%  |  801.25 | #5 | running    | 2.0%  |  318.09
2018-05-29 01:55:02.319722     | custom:v22           | running    |  922.53 | #1 | running    | 3.9%  |  483.25 | #2 | running    | 3.8%  | 1442.19 | #3 | running    | 4.2%  | 1098.77 | #4 | running    | 3.8%  | 1330.34 | #5 | running    | 3.2%  |  258.08
2018-05-29 02:00:02.557093     | custom:v22           | running    | 1262.41 | #1 | running    | 5.3%  |  653.13 | #2 | running    | 5.4%  | 2022.80 | #3 | running    | 5.5%  | 1224.55 | #4 | running    | 5.3%  | 1631.94 | #5 | running    | 4.6%  |  779.62
2018-05-29 02:05:02.791865     | custom:v22           | running    | 1400.08 | #1 | running    | 6.6%  |  779.50 | #2 | running    | 6.5%  | 2171.90 | #3 | running    | 6.9%  | 1323.84 | #4 | running    | 6.6%  | 1784.61 | #5 | running    | 5.5%  |  940.54
2018-05-29 02:10:03.023978     | custom:v22           | running    | 1580.37 | #1 | running    | 8.2%  | 1206.82 | #2 | running    | 8.0%  | 2312.83 | #3 | running    | 8.2%  | 1422.05 | #4 | running    | 7.9%  | 1789.11 | #5 | running    | 7.2%  | 1171.05
2018-05-29 02:15:02.380716     | custom:v22           | running    | 1700.49 | #1 | running    | 9.6%  | 1180.41 | #2 | running    | 9.3%  | 2658.11 | #3 | running    | 9.7%  | 1645.27 | #4 | running    | 9.1%  | 1817.04 | #5 | running    | 8.4%  | 1201.65
2018-05-29 02:20:02.634234     | custom:v22           | running    | 1759.45 | #1 | running    | 11.0% | 1045.81 | #2 | running    | 10.6% | 2805.44 | #3 | running    | 11.2% | 1918.58 | #4 | running    | 10.7% | 1777.01 | #5 | running    | 9.6%  | 1250.41
2018-05-29 02:25:02.915209     | custom:v22           | running    | 1803.95 | #1 | running    | 12.3% |  979.66 | #2 | running    | 11.7% | 2834.62 | #3 | running    | 12.6% | 2070.41 | #4 | running    | 12.1% | 1814.96 | #5 | running    | 10.7% | 1320.12
2018-05-29 02:30:03.121145     | custom:v22           | running    | 1837.44 | #1 | running    | 13.7% |  967.17 | #2 | running    | 12.9% | 2842.92 | #3 | running    | 14.0% | 2192.16 | #4 | running    | 13.4% | 1852.62 | #5 | running    | 12.3% | 1332.31
2018-05-29 02:35:02.504734     | custom:v22           | running    | 1865.40 | #1 | running    | 15.0% |  958.19 | #2 | running    | 14.3% | 2849.54 | #3 | running    | 15.3% | 2278.62 | #4 | running    | 14.8% | 1905.71 | #5 | running    | 13.6% | 1334.95
2018-05-29 02:40:02.853621     | custom:v22           | running    | 1882.79 | #1 | running    | 16.4% |  966.05 | #2 | running    | 15.7% | 2849.59 | #3 | running    | 16.7% | 2330.52 | #4 | running    | 16.1% | 1951.18 | #5 | running    | 14.7% | 1316.61
