2018-06-02 00:50:03.255501     | rainbow:v1           | running    |  340.20 | #1 | running    | 2.5%  |  189.96 | #2 | rebooting  |       | pending | #3 | running    | 2.2%  |  427.35 | #4 | running    | 2.3%  |  582.88 | #5 | running    | 2.3%  |  160.60
2018-06-02 00:55:02.726153     | rainbow:v1           | running    |  671.56 | #1 | running    | 3.4%  |  385.00 | #2 | starting   | N/A   | pending | #3 | running    | 3.1%  |  412.41 | #4 | running    | 3.2%  |  984.75 | #5 | running    | 3.4%  |  904.06
2018-06-02 01:00:03.166165     | rainbow:v1           | running    |  746.65 | #1 | running    | 4.3%  | 1024.94 | #2 | running    | 0.7%  |    0.00 | #3 | running    | 4.1%  |  411.38 | #4 | running    | 4.1%  | 1162.53 | #5 | running    | 4.2%  | 1134.38
2018-06-02 01:05:02.658002     | rainbow:v1           | running    | 1011.44 | #1 | running    | 5.6%  | 1913.79 | #2 | running    | 2.7%  |    2.34 | #3 | running    | 5.1%  |  419.46 | #4 | running    | 5.2%  | 1359.95 | #5 | running    | 5.7%  | 1361.66
2018-06-02 01:10:03.128582     | rainbow:v1           | running    | 1225.82 | #1 | running    | 6.6%  | 2498.50 | #2 | running    | 3.9%  |  520.54 | #3 | running    | 5.7%  |  417.62 | #4 | running    | 6.2%  | 1391.54 | #5 | running    | 6.7%  | 1300.90
2018-06-02 01:15:02.611319     | rainbow:v1           | running    | 1407.96 | #1 | running    | 7.5%  | 2237.30 | #2 | running    | 5.0%  | 1579.68 | #3 | running    | 7.1%  |  433.12 | #4 | running    | 7.6%  | 1518.03 | #5 | running    | 7.9%  | 1271.66
2018-06-02 01:20:03.237076     | rainbow:v1           | running    | 1449.53 | #1 | running    | 8.9%  | 2042.49 | #2 | running    | 6.0%  | 1918.18 | #3 | running    | 8.1%  |  445.58 | #4 | running    | 8.6%  | 1572.96 | #5 | running    | 8.9%  | 1268.42
2018-06-02 01:25:02.706295     | rainbow:v1           | running    | 1467.06 | #1 | running    | 9.8%  | 1948.40 | #2 | running    | 7.1%  | 2006.51 | #3 | running    | 9.0%  |  450.65 | #4 | running    | 9.5%  | 1638.51 | #5 | running    | 10.1% | 1291.22
2018-06-02 01:30:03.146197     | rainbow:v1           | running    | 1570.78 | #1 | running    | 11.1% | 2283.21 | #2 | running    | 8.3%  | 2090.31 | #3 | running    | 10.0% |  453.85 | #4 | running    | 10.4% | 1690.61 | #5 | running    | 11.1% | 1335.94
2018-06-02 01:35:02.638635     | rainbow:v1           | running    | 1718.20 | #1 | running    | 12.0% | 2775.64 | #2 | running    | 9.4%  | 2219.80 | #3 | running    | 10.9% |  457.38 | #4 | running    | 11.8% | 1753.17 | #5 | running    | 12.1% | 1385.01
2018-06-02 01:40:03.186734     | rainbow:v1           | running    | 1947.26 | #1 | running    | 12.8% | 3737.26 | #2 | running    | 10.6% | 2288.41 | #3 | running    | 11.7% |  459.29 | #4 | running    | 12.7% | 1803.68 | #5 | running    | 13.3% | 1447.65
