2018-05-29 22:25:02.936873     | custom:v20           | running    |  724.23 | #1 | running    | N/A   | pending | #2 | running    | 1.3%  | 2495.92 | #3 | running    | 1.1%  |  401.00 | #4 | running    | 2.0%  |    0.00 | #5 | running    | 1.1%  |   -0.00
2018-05-29 22:30:03.180006     | custom:v20           | running    |  956.83 | #1 | running    | 2.7%  |    0.00 | #2 | running    | 2.9%  | 2185.93 | #3 | running    | 2.8%  |  413.97 | #4 | running    | 2.7%  |  859.99 | #5 | running    | 2.9%  | 1324.24
2018-05-29 22:35:02.448500     | custom:v20           | running    | 1020.68 | #1 | running    | 3.6%  |    0.00 | #2 | running    | 4.0%  | 2026.91 | #3 | running    | 3.9%  |  412.38 | #4 | running    | 4.1%  | 1181.81 | #5 | running    | 4.0%  | 1482.30
2018-05-29 22:40:02.689615     | custom:v20           | running    |  997.37 | #1 | running    | 5.0%  |    8.25 | #2 | running    | 4.8%  | 1998.35 | #3 | running    | 5.0%  |  411.56 | #4 | running    | 4.9%  | 1085.86 | #5 | running    | 5.0%  | 1482.81
2018-05-29 22:45:02.911299     | custom:v20           | running    | 1023.28 | #1 | running    | 5.9%  |   11.92 | #2 | running    | 6.1%  | 2112.50 | #3 | running    | 6.0%  |  410.89 | #4 | running    | 5.9%  | 1172.54 | #5 | running    | 6.2%  | 1408.54
2018-05-29 22:50:03.178761     | custom:v20           | running    | 1097.57 | #1 | running    | 7.2%  |  231.54 | #2 | running    | 7.4%  | 2230.63 | #3 | running    | 7.1%  |  410.24 | #4 | running    | 7.4%  | 1239.66 | #5 | running    | 7.2%  | 1375.76
2018-05-29 22:55:02.399893     | custom:v20           | running    | 1161.35 | #1 | running    | 8.1%  |  357.02 | #2 | running    | 8.5%  | 2264.87 | #3 | running    | 8.2%  |  409.94 | #4 | running    | 8.5%  | 1286.02 | #5 | running    | 8.2%  | 1488.93
2018-05-29 23:00:02.636197     | custom:v20           | running    | 1225.55 | #1 | running    | 9.0%  |  524.68 | #2 | running    | 9.5%  | 2329.69 | #3 | running    | 9.1%  |  413.24 | #4 | running    | 9.5%  | 1319.38 | #5 | running    | 9.0%  | 1540.77
2018-05-29 23:05:02.870585     | custom:v20           | running    | 1407.97 | #1 | running    | 10.5% | 1029.70 | #2 | running    | 10.7% | 2526.75 | #3 | running    | 10.0% |  415.65 | #4 | running    | 10.6% | 1363.50 | #5 | running    | 10.4% | 1704.26
2018-05-29 23:10:03.142123     | custom:v20           | running    | 1484.75 | #1 | running    | 11.4% | 1156.43 | #2 | running    | 11.7% | 2560.11 | #3 | running    | 11.5% |  432.49 | #4 | running    | 11.4% | 1407.93 | #5 | running    | 11.6% | 1866.77
2018-05-29 23:15:02.373504     | custom:v20           | running    | 1606.74 | #1 | running    | 12.4% | 1540.94 | #2 | running    | 13.0% | 2575.40 | #3 | running    | 12.5% |  444.84 | #4 | running    | 12.8% | 1443.98 | #5 | running    | 12.6% | 2028.54
2018-05-29 23:20:02.624439     | custom:v20           | running    | 1635.61 | #1 | running    | 13.8% | 1494.38 | #2 | running    | 14.0% | 2582.40 | #3 | running    | 13.7% |  461.03 | #4 | running    | 13.7% | 1472.87 | #5 | running    | 13.5% | 2167.38
2018-05-29 23:25:02.897605     | custom:v20           | running    | 1707.49 | #1 | running    | 14.7% | 1625.34 | #2 | running    | 15.2% | 2618.18 | #3 | running    | 14.6% |  473.10 | #4 | running    | 15.0% | 1502.41 | #5 | running    | 14.7% | 2322.43
2018-05-29 23:30:03.122613     | custom:v20           | running    | 1917.55 | #1 | running    | 15.8% | 2524.21 | #2 | running    | 16.2% | 2633.47 | #3 | running    | 15.6% |  483.15 | #4 | running    | 15.9% | 1518.54 | #5 | running    | 15.7% | 2428.36
2018-05-29 23:35:02.292173     | custom:v20           | running    | 2150.41 | #1 | running    | 17.1% | 3563.32 | #2 | running    | 17.3% | 2622.33 | #3 | running    | 16.6% |  494.84 | #4 | running    | 16.8% | 1537.56 | #5 | running    | 16.8% | 2533.98
2018-05-29 23:40:02.519719     | custom:v20           | running    | 2283.40 | #1 | running    | 18.2% | 4096.38 | #2 | running    | 18.4% | 2628.61 | #3 | running    | 18.0% |  508.49 | #4 | running    | 18.2% | 1564.51 | #5 | running    | 17.8% | 2619.00
2018-05-29 23:45:02.757316     | custom:v20           | running    | 2347.89 | #1 | running    | 19.2% | 4303.98 | #2 | running    | 19.6% | 2624.43 | #3 | running    | 18.9% |  514.54 | #4 | running    | 19.3% | 1594.79 | #5 | running    | 18.9% | 2701.70
2018-05-29 23:50:03.023579     | custom:v20           | running    | 2512.12 | #1 | running    | 20.3% | 4964.16 | #2 | running    | 20.8% | 2648.83 | #3 | running    | 20.1% |  529.03 | #4 | running    | 20.5% | 1650.52 | #5 | running    | 19.9% | 2768.08
2018-05-29 23:55:02.291779     | custom:v20           | running    | 2619.71 | #1 | running    | 21.4% | 5394.88 | #2 | running    | 21.7% | 2650.98 | #3 | running    | 21.0% |  534.69 | #4 | running    | 21.6% | 1682.69 | #5 | running    | 21.0% | 2835.30
2018-05-30 00:00:02.522163     | custom:v20           | running    | 2693.48 | #1 | running    | 22.5% | 5691.29 | #2 | running    | 22.6% | 2653.96 | #3 | running    | 22.4% |  543.27 | #4 | running    | 22.5% | 1698.93 | #5 | running    | 22.0% | 2879.92
2018-05-30 00:05:02.734521     | custom:v20           | running    | 2763.82 | #1 | running    | 23.6% | 5960.59 | #2 | running    | 23.9% | 2658.04 | #3 | running    | 23.5% |  560.34 | #4 | running    | 23.4% | 1714.26 | #5 | running    | 23.1% | 2925.87
2018-05-30 00:10:02.974635     | custom:v20           | running    | 2821.84 | #1 | running    | 24.6% | 6175.95 | #2 | running    | 24.8% | 2660.91 | #3 | running    | 24.5% |  572.28 | #4 | running    | 24.7% | 1736.31 | #5 | running    | 24.1% | 2963.74
2018-05-30 00:15:02.183572     | custom:v20           | running    | 2879.04 | #1 | running    | 25.8% | 6374.72 | #2 | running    | 26.2% | 2663.05 | #3 | running    | 25.7% |  581.78 | #4 | running    | 25.7% | 1780.47 | #5 | running    | 25.2% | 2995.20
2018-05-30 00:20:02.556181     | custom:v20           | running    | 2919.13 | #1 | running    | 26.9% | 6516.02 | #2 | running    | 27.3% | 2668.53 | #3 | running    | 26.7% |  595.39 | #4 | running    | 26.6% | 1789.08 | #5 | running    | 26.3% | 3026.64
2018-05-30 00:25:02.763567     | custom:v20           | running    | 2955.98 | #1 | running    | 28.0% | 6641.88 | #2 | running    | 28.2% | 2669.17 | #3 | running    | 27.7% |  604.96 | #4 | running    | 28.0% | 1808.57 | #5 | running    | 27.3% | 3055.35
2018-05-30 00:30:02.956562     | custom:v20           | running    | 2985.32 | #1 | running    | 29.1% | 6750.51 | #2 | running    | 29.4% | 2664.66 | #3 | running    | 29.1% |  617.15 | #4 | running    | 28.9% | 1815.16 | #5 | running    | 28.5% | 3079.15
2018-05-30 00:35:03.222919     | custom:v20           | running    | 3013.58 | #1 | running    | 30.1% | 6829.59 | #2 | running    | 30.8% | 2660.39 | #3 | running    | 30.0% |  623.03 | #4 | running    | 30.0% | 1855.26 | #5 | running    | 29.4% | 3099.62
2018-05-30 00:40:02.492713     | custom:v20           | running    | 3048.56 | #1 | running    | 31.3% | 6909.80 | #2 | running    | 31.7% | 2662.16 | #3 | running    | 31.0% |  628.85 | #4 | running    | 31.2% | 1924.85 | #5 | running    | 30.3% | 3117.16
2018-05-30 00:45:02.729717     | custom:v20           | running    | 3069.56 | #1 | running    | 32.3% | 6969.73 | #2 | running    | 32.6% | 2666.38 | #3 | running    | 32.3% |  640.19 | #4 | running    | 32.1% | 1935.46 | #5 | running    | 31.5% | 3136.06
2018-05-30 00:50:02.960647     | custom:v20           | running    | 3092.12 | #1 | running    | 33.4% | 7034.18 | #2 | running    | 33.9% | 2682.07 | #3 | running    | 33.3% |  646.91 | #4 | running    | 33.4% | 1952.12 | #5 | running    | 32.5% | 3145.29
2018-05-30 00:55:03.226571     | custom:v20           | running    | 3109.80 | #1 | running    | 34.5% | 7079.80 | #2 | running    | 34.9% | 2694.13 | #3 | running    | 34.6% |  654.18 | #4 | running    | 34.3% | 1960.22 | #5 | running    | 33.6% | 3160.68
2018-05-30 01:00:02.481729     | custom:v20           | running    | 3140.89 | #1 | running    | 35.6% | 7124.91 | #2 | running    | 36.1% | 2707.12 | #3 | running    | 35.5% |  660.01 | #4 | running    | 35.4% | 2039.26 | #5 | running    | 34.7% | 3173.15
2018-05-30 01:05:02.712065     | custom:v20           | running    | 3154.52 | #1 | running    | 36.7% | 7170.16 | #2 | running    | 36.7% | 2711.67 | #3 | running    | 36.4% |  664.60 | #4 | running    | 36.8% | 2044.18 | #5 | running    | 35.8% | 3182.01
2018-05-30 01:10:02.961776     | custom:v20           | running    | 3189.99 | #1 | running    | 37.8% | 7210.25 | #2 | running    | 38.1% | 2719.24 | #3 | running    | 37.9% |  684.17 | #4 | running    | 37.7% | 2146.59 | #5 | running    | 36.6% | 3189.68
2018-05-30 01:15:03.476940     | custom:v20           | running    | 3211.22 | #1 | running    | 38.9% | 7242.36 | #2 | running    | 39.2% | 2723.32 | #3 | running    | 38.9% |  690.12 | #4 | running    | 38.9% | 2202.03 | #5 | running    | 37.7% | 3198.30
2018-05-30 01:20:02.742215     | custom:v20           | running    | 3234.19 | #1 | running    | 40.0% | 7270.50 | #2 | running    | 40.3% | 2743.40 | #3 | running    | 39.8% |  696.04 | #4 | running    | 40.0% | 2251.27 | #5 | running    | 38.8% | 3209.71
2018-05-30 01:25:02.983226     | custom:v20           | running    | 3248.52 | #1 | running    | 41.1% | 7303.75 | #2 | running    | 41.3% | 2740.55 | #3 | running    | 41.2% |  705.12 | #4 | running    | 40.9% | 2274.90 | #5 | running    | 40.0% | 3218.30
2018-05-30 01:30:02.245904     | custom:v20           | running    | 3276.99 | #1 | running    | 42.2% | 7325.93 | #2 | running    | 42.2% | 2762.37 | #3 | running    | 42.1% |  709.92 | #4 | running    | 42.0% | 2363.16 | #5 | running    | 40.8% | 3223.57
2018-05-30 01:35:02.523866     | custom:v20           | running    | 3286.16 | #1 | running    | 43.3% | 7350.90 | #2 | running    | 43.3% | 2763.60 | #3 | running    | 43.0% |  717.85 | #4 | running    | 42.9% | 2368.94 | #5 | running    | 42.0% | 3229.51
2018-05-30 01:40:02.819543     | custom:v20           | running    | 3292.03 | #1 | running    | 44.4% | 7376.44 | #2 | running    | 44.3% | 2768.99 | #3 | running    | 44.4% |  726.34 | #4 | running    | 44.3% | 2362.13 | #5 | running    | 42.9% | 3226.25
2018-05-30 01:45:03.021525     | custom:v20           | running    | 3307.69 | #1 | running    | 45.4% | 7395.86 | #2 | running    | 45.3% | 2779.88 | #3 | running    | 45.2% |  730.98 | #4 | running    | 45.4% | 2401.17 | #5 | running    | 44.2% | 3230.56
