2018-06-01 16:25:03.280590     | custom:v15           | running    |  459.96 | #1 | running    | 2.0%  |  126.01 | #2 | running    | 2.3%  |  127.83 | #3 | running    | 2.3%  |   51.43 | #4 | running    | 2.0%  |  714.01 | #5 | running    | 1.9%  | 1280.49
2018-06-01 16:30:02.715756     | custom:v15           | running    |  682.09 | #1 | running    | 3.2%  |  281.92 | #2 | running    | 3.0%  |  571.78 | #3 | running    | 3.2%  |  452.44 | #4 | running    | 2.7%  |  841.29 | #5 | running    | 3.1%  | 1263.04
2018-06-01 16:35:03.196181     | custom:v15           | running    |  826.38 | #1 | running    | 4.1%  |  395.75 | #2 | running    | 4.4%  | 1125.83 | #3 | running    | 4.0%  |  589.66 | #4 | running    | 4.1%  |  726.57 | #5 | running    | 4.1%  | 1294.10
2018-06-01 16:40:02.656768     | custom:v15           | running    |  908.49 | #1 | running    | 5.5%  |  507.76 | #2 | running    | 5.6%  | 1500.38 | #3 | running    | 5.4%  |  600.08 | #4 | running    | 5.0%  |  679.37 | #5 | running    | 5.2%  | 1254.85
2018-06-01 16:45:03.177175     | custom:v15           | running    | 1031.15 | #1 | running    | 6.4%  |  564.21 | #2 | running    | 6.6%  | 1901.43 | #3 | running    | 6.2%  |  691.32 | #4 | running    | 6.1%  |  789.87 | #5 | running    | 6.3%  | 1208.92
2018-06-01 16:50:02.681250     | custom:v15           | running    | 1151.13 | #1 | running    | 7.7%  |  692.32 | #2 | running    | 7.7%  | 2089.11 | #3 | running    | 7.2%  |  743.15 | #4 | running    | 7.1%  |  991.96 | #5 | running    | 7.2%  | 1239.09
2018-06-01 16:55:03.130276     | custom:v15           | running    | 1266.36 | #1 | running    | 8.6%  |  987.78 | #2 | running    | 8.8%  | 2196.97 | #3 | running    | 8.6%  |  795.20 | #4 | running    | 7.8%  | 1086.56 | #5 | running    | 8.4%  | 1265.27
2018-06-01 17:00:02.599596     | custom:v15           | running    | 1444.96 | #1 | running    | 10.0% | 1732.95 | #2 | running    | 9.8%  | 2274.75 | #3 | running    | 9.6%  |  843.49 | #4 | running    | 9.1%  | 1105.28 | #5 | running    | 9.1%  | 1268.35
2018-06-01 17:05:03.096048     | custom:v15           | running    | 1732.72 | #1 | running    | 10.9% | 2871.51 | #2 | running    | 10.9% | 2435.44 | #3 | running    | 10.5% |  889.42 | #4 | running    | 9.9%  | 1184.26 | #5 | running    | 10.6% | 1282.98
2018-06-01 17:10:02.589765     | custom:v15           | running    | 1931.53 | #1 | running    | 12.3% | 3725.95 | #2 | running    | 12.0% | 2486.02 | #3 | running    | 11.4% |  910.54 | #4 | running    | 11.0% | 1227.85 | #5 | running    | 11.6% | 1307.30
2018-06-01 17:15:03.107872     | custom:v15           | running    | 2020.39 | #1 | running    | 13.2% | 4033.94 | #2 | running    | 12.9% | 2493.27 | #3 | running    | 12.6% |  973.88 | #4 | running    | 12.3% | 1285.62 | #5 | running    | 12.7% | 1315.23
2018-06-01 17:20:02.601491     | custom:v15           | running    | 2016.07 | #1 | running    | 14.1% | 3916.01 | #2 | running    | 13.8% | 2500.01 | #3 | running    | 13.7% | 1033.43 | #4 | running    | 13.3% | 1305.42 | #5 | running    | 13.8% | 1325.47
2018-06-01 17:25:03.098148     | custom:v15           | running    | 2017.10 | #1 | running    | 15.5% | 3750.46 | #2 | running    | 14.7% | 2506.41 | #3 | running    | 14.9% | 1164.25 | #4 | running    | 14.3% | 1317.50 | #5 | running    | 14.5% | 1346.90
2018-06-01 17:30:02.586303     | custom:v15           | running    | 2090.76 | #1 | running    | 16.7% | 3982.05 | #2 | running    | 16.1% | 2514.44 | #3 | running    | 16.0% | 1236.81 | #4 | running    | 15.1% | 1339.00 | #5 | running    | 15.7% | 1381.51
2018-06-01 17:35:03.019382     | custom:v15           | running    | 2181.48 | #1 | running    | 17.7% | 4290.03 | #2 | running    | 17.2% | 2519.77 | #3 | running    | 17.0% | 1290.16 | #4 | running    | 16.4% | 1369.18 | #5 | running    | 17.1% | 1438.26
2018-06-01 17:40:02.520011     | custom:v15           | running    | 2264.92 | #1 | running    | 18.7% | 4566.12 | #2 | running    | 18.1% | 2523.33 | #3 | running    | 18.0% | 1363.16 | #4 | running    | 17.0% | 1393.26 | #5 | running    | 18.1% | 1478.73
2018-06-01 17:45:03.006058     | custom:v15           | running    | 2281.38 | #1 | running    | 20.0% | 4551.25 | #2 | running    | 19.3% | 2522.19 | #3 | running    | 18.9% | 1390.57 | #4 | running    | 18.5% | 1433.86 | #5 | running    | 19.2% | 1509.03
2018-06-01 17:50:02.476945     | custom:v15           | running    | 2326.48 | #1 | running    | 21.1% | 4645.75 | #2 | running    | 20.4% | 2524.71 | #3 | running    | 20.1% | 1443.58 | #4 | running    | 19.5% | 1463.63 | #5 | running    | 20.3% | 1554.73
2018-06-01 17:55:02.950621     | custom:v15           | running    | 2406.72 | #1 | running    | 22.1% | 4936.15 | #2 | running    | 21.3% | 2527.29 | #3 | running    | 21.2% | 1504.61 | #4 | running    | 20.5% | 1483.27 | #5 | running    | 21.3% | 1582.30
2018-06-01 18:00:03.395696     | custom:v15           | running    | 2467.89 | #1 | running    | 22.8% | 5132.18 | #2 | running    | 22.2% | 2531.39 | #3 | running    | 22.1% | 1562.66 | #4 | running    | 21.4% | 1499.08 | #5 | running    | 22.2% | 1614.11
2018-06-01 18:05:02.893902     | custom:v15           | running    | 2567.97 | #1 | running    | 24.3% | 5510.83 | #2 | running    | 23.1% | 2534.48 | #3 | running    | 23.0% | 1590.27 | #4 | running    | 22.3% | 1516.08 | #5 | running    | 23.4% | 1688.20
2018-06-01 18:10:03.332415     | custom:v15           | running    | 2606.82 | #1 | running    | 25.3% | 5617.74 | #2 | running    | 24.5% | 2539.42 | #3 | running    | 24.3% | 1621.90 | #4 | running    | 23.7% | 1536.49 | #5 | running    | 24.2% | 1718.54
2018-06-01 18:15:02.810417     | custom:v15           | running    | 2679.75 | #1 | running    | 26.6% | 5892.83 | #2 | running    | 25.4% | 2542.77 | #3 | running    | 25.4% | 1653.03 | #4 | running    | 24.5% | 1551.25 | #5 | running    | 25.5% | 1758.89
