2018-06-03 14:40:03.192896     | custom:v15           | running    |  559.90 | #1 | running    | 1.8%  |  658.25 | #2 | running    | 1.1%  |    0.00 | #3 | running    | 2.0%  |    0.00 | #4 | running    | 1.5%  | 1009.38 | #5 | running    | 1.6%  | 1131.87
2018-06-03 14:45:02.867502     | custom:v15           | running    |  954.77 | #1 | running    | 3.1%  |  730.93 | #2 | running    | 2.7%  | 1034.78 | #3 | running    | 3.0%  |  802.05 | #4 | running    | 2.6%  | 1053.46 | #5 | running    | 2.9%  | 1152.62
2018-06-03 14:50:03.436343     | custom:v15           | running    | 1061.86 | #1 | running    | 4.0%  |  763.62 | #2 | running    | 3.9%  | 1279.18 | #3 | running    | 3.9%  |  949.97 | #4 | running    | 3.9%  | 1077.63 | #5 | running    | 3.9%  | 1238.88
2018-06-03 14:55:03.246603     | custom:v15           | running    | 1201.53 | #1 | running    | 4.9%  |  790.09 | #2 | running    | 5.0%  | 1628.71 | #3 | running    | 5.3%  | 1189.18 | #4 | running    | 5.1%  | 1137.74 | #5 | running    | 5.1%  | 1261.95
2018-06-03 15:00:03.010997     | custom:v15           | running    | 1283.57 | #1 | running    | 6.2%  |  822.00 | #2 | running    | 5.8%  | 1765.65 | #3 | running    | 6.3%  | 1284.93 | #4 | running    | 6.2%  | 1193.57 | #5 | running    | 6.1%  | 1351.73
2018-06-03 15:05:02.674641     | custom:v15           | running    | 1343.88 | #1 | running    | 7.1%  |  935.13 | #2 | running    | 7.3%  | 1775.00 | #3 | running    | 7.2%  | 1427.47 | #4 | running    | 7.0%  | 1206.56 | #5 | running    | 7.2%  | 1375.24
2018-06-03 15:10:03.347778     | custom:v15           | running    | 1388.16 | #1 | running    | 8.5%  |  894.30 | #2 | running    | 8.0%  | 1823.30 | #3 | running    | 8.6%  | 1596.65 | #4 | running    | 8.4%  | 1260.73 | #5 | running    | 8.2%  | 1365.80
2018-06-03 15:15:03.008238     | custom:v15           | running    | 1423.95 | #1 | running    | 9.4%  |  885.97 | #2 | running    | 9.4%  | 1871.74 | #3 | running    | 9.5%  | 1676.16 | #4 | running    | 9.3%  | 1296.29 | #5 | running    | 9.3%  | 1389.61
2018-06-03 15:20:02.606315     | custom:v15           | running    | 1459.12 | #1 | running    | 10.3% |  890.70 | #2 | running    | 10.1% | 1917.25 | #3 | running    | 10.4% | 1774.83 | #4 | running    | 10.2% | 1329.63 | #5 | running    | 10.2% | 1383.17
2018-06-03 15:25:03.158284     | custom:v15           | running    | 1506.01 | #1 | running    | 11.6% |  887.40 | #2 | running    | 11.6% | 2021.67 | #3 | running    | 11.8% | 1862.86 | #4 | running    | 11.6% | 1377.76 | #5 | running    | 11.3% | 1380.37
2018-06-03 15:30:02.753432     | custom:v15           | running    | 1531.53 | #1 | running    | 12.5% |  890.17 | #2 | running    | 12.7% | 2075.70 | #3 | running    | 12.7% | 1896.42 | #4 | running    | 12.5% | 1406.72 | #5 | running    | 12.4% | 1388.61
2018-06-03 15:35:03.312374     | custom:v15           | running    | 1570.65 | #1 | running    | 13.9% |  894.24 | #2 | running    | 13.8% | 2144.78 | #3 | running    | 13.9% | 1970.52 | #4 | running    | 13.9% | 1443.04 | #5 | running    | 13.4% | 1400.66
2018-06-03 15:40:02.968299     | custom:v15           | running    | 1609.42 | #1 | running    | 14.8% |  899.77 | #2 | running    | 14.9% | 2193.24 | #3 | running    | 14.8% | 2035.66 | #4 | running    | 14.8% | 1469.29 | #5 | running    | 14.4% | 1449.12
2018-06-03 15:45:02.668863     | custom:v15           | running    | 1649.35 | #1 | running    | 15.7% |  901.41 | #2 | running    | 16.0% | 2208.93 | #3 | running    | 16.2% | 2157.19 | #4 | running    | 15.8% | 1494.48 | #5 | running    | 15.4% | 1484.73
2018-06-03 15:50:03.255448     | custom:v15           | running    | 1694.53 | #1 | running    | 17.0% |  880.19 | #2 | running    | 17.1% | 2242.55 | #3 | running    | 17.3% | 2295.10 | #4 | running    | 16.7% | 1512.33 | #5 | running    | 16.4% | 1542.46
2018-06-03 15:55:02.895777     | custom:v15           | running    | 1724.57 | #1 | running    | 17.9% |  861.23 | #2 | running    | 18.1% | 2271.79 | #3 | running    | 18.4% | 2342.44 | #4 | running    | 18.1% | 1544.15 | #5 | running    | 17.6% | 1603.26
2018-06-03 16:00:03.503963     | custom:v15           | running    | 1755.62 | #1 | running    | 19.3% |  836.27 | #2 | running    | 19.3% | 2299.28 | #3 | running    | 19.3% | 2424.98 | #4 | running    | 19.0% | 1564.40 | #5 | running    | 18.5% | 1653.19
2018-06-03 16:05:03.198099     | custom:v15           | running    | 1787.89 | #1 | running    | 20.2% |  821.63 | #2 | running    | 20.4% | 2335.88 | #3 | running    | 20.4% | 2488.75 | #4 | running    | 20.3% | 1593.42 | #5 | running    | 19.6% | 1699.78
2018-06-03 16:10:02.957172     | custom:v15           | running    | 1805.55 | #1 | running    | 21.1% |  807.70 | #2 | running    | 21.4% | 2352.18 | #3 | running    | 21.4% | 2517.18 | #4 | running    | 21.2% | 1611.93 | #5 | running    | 20.6% | 1738.73
2018-06-03 16:15:03.612727     | custom:v15           | running    | 1818.21 | #1 | running    | 22.4% |  788.75 | #2 | running    | 22.6% | 2370.82 | #3 | running    | 22.7% | 2522.38 | #4 | running    | 22.6% | 1638.52 | #5 | running    | 21.7% | 1770.56
2018-06-03 16:20:03.242002     | custom:v15           | running    | 1836.48 | #1 | running    | 23.3% |  778.78 | #2 | running    | 23.5% | 2400.60 | #3 | running    | 23.6% | 2547.69 | #4 | running    | 23.5% | 1655.50 | #5 | running    | 22.6% | 1799.80
2018-06-03 16:25:02.748521     | custom:v15           | running    | 1856.60 | #1 | running    | 24.7% |  763.49 | #2 | running    | 24.8% | 2441.37 | #3 | running    | 24.9% | 2561.64 | #4 | running    | 24.4% | 1671.93 | #5 | running    | 23.8% | 1844.58
2018-06-03 16:30:03.353320     | custom:v15           | running    | 1877.94 | #1 | running    | 25.6% |  753.92 | #2 | running    | 25.9% | 2488.21 | #3 | running    | 25.9% | 2570.21 | #4 | running    | 25.7% | 1695.54 | #5 | running    | 24.8% | 1881.83
2018-06-03 16:35:02.945835     | custom:v15           | running    | 1886.25 | #1 | running    | 26.9% |  741.78 | #2 | running    | 26.8% | 2505.87 | #3 | running    | 27.0% | 2572.55 | #4 | running    | 26.6% | 1708.20 | #5 | running    | 25.6% | 1902.87
2018-06-03 16:40:03.643916     | custom:v15           | running    | 1919.56 | #1 | running    | 27.8% |  781.68 | #2 | running    | 28.0% | 2571.55 | #3 | running    | 27.9% | 2581.46 | #4 | running    | 28.0% | 1729.88 | #5 | running    | 26.7% | 1933.23
2018-06-03 16:45:03.420162     | custom:v15           | running    | 1943.50 | #1 | running    | 29.2% |  802.03 | #2 | running    | 29.0% | 2621.62 | #3 | running    | 29.3% | 2583.24 | #4 | running    | 28.9% | 1743.78 | #5 | running    | 27.7% | 1966.81
2018-06-03 16:50:02.924875     | custom:v15           | running    | 1966.14 | #1 | running    | 30.1% |  794.70 | #2 | running    | 30.2% | 2677.06 | #3 | running    | 30.2% | 2595.49 | #4 | running    | 29.8% | 1757.27 | #5 | running    | 29.0% | 2006.18
2018-06-03 16:55:03.504701     | custom:v15           | running    | 1983.69 | #1 | running    | 31.4% |  782.91 | #2 | running    | 31.3% | 2715.49 | #3 | running    | 31.1% | 2608.00 | #4 | running    | 31.2% | 1768.29 | #5 | running    | 29.9% | 2043.74
2018-06-03 17:00:03.233553     | custom:v15           | running    | 2020.42 | #1 | running    | 32.5% |  901.48 | #2 | running    | 32.3% | 2751.06 | #3 | running    | 32.5% | 2600.09 | #4 | running    | 32.1% | 1777.34 | #5 | running    | 30.8% | 2072.13
2018-06-03 17:05:02.778638     | custom:v15           | running    | 2062.74 | #1 | running    | 33.4% | 1009.35 | #2 | running    | 33.5% | 2780.90 | #3 | running    | 33.5% | 2613.02 | #4 | running    | 33.0% | 1788.53 | #5 | running    | 32.0% | 2121.92
2018-06-03 17:10:03.360480     | custom:v15           | running    | 2163.73 | #1 | running    | 34.9% | 1439.89 | #2 | running    | 34.4% | 2807.25 | #3 | running    | 34.5% | 2626.59 | #4 | running    | 34.4% | 1795.49 | #5 | running    | 33.0% | 2149.41
2018-06-03 17:15:02.934756     | custom:v15           | running    | 2277.60 | #1 | running    | 35.8% | 1906.79 | #2 | running    | 35.5% | 2850.20 | #3 | running    | 35.8% | 2640.10 | #4 | running    | 35.3% | 1805.17 | #5 | running    | 34.0% | 2185.76
2018-06-03 17:20:03.674825     | custom:v15           | running    | 2342.99 | #1 | running    | 37.1% | 2159.74 | #2 | running    | 36.7% | 2877.56 | #3 | running    | 36.7% | 2648.73 | #4 | running    | 36.7% | 1813.45 | #5 | running    | 35.0% | 2215.49
2018-06-03 17:25:03.236117     | custom:v15           | running    | 2457.55 | #1 | running    | 38.3% | 2675.35 | #2 | running    | 37.5% | 2885.26 | #3 | running    | 37.7% | 2655.87 | #4 | running    | 37.6% | 1821.80 | #5 | running    | 36.0% | 2249.46
2018-06-03 17:30:02.887094     | custom:v15           | running    | 2538.61 | #1 | running    | 39.4% | 3014.67 | #2 | running    | 38.6% | 2902.57 | #3 | running    | 39.0% | 2667.43 | #4 | running    | 38.5% | 1831.45 | #5 | running    | 37.0% | 2276.93
2018-06-03 17:35:03.500017     | custom:v15           | running    | 2597.06 | #1 | running    | 40.2% | 3242.90 | #2 | running    | 39.9% | 2903.38 | #3 | running    | 39.9% | 2677.36 | #4 | running    | 39.6% | 1856.66 | #5 | running    | 38.1% | 2304.99
2018-06-03 17:40:03.198148     | custom:v15           | running    | 2648.20 | #1 | running    | 41.4% | 3453.99 | #2 | running    | 40.9% | 2903.97 | #3 | running    | 40.9% | 2686.50 | #4 | running    | 41.0% | 1864.70 | #5 | running    | 39.2% | 2331.84
