2018-06-05 05:50:02.502923     | custom:v37           | running    |    0.00 | #1 | running    | 0.7%  |    0.00 | #2 | running    | 0.7%  |    0.00 | #3 | running    | N/A   | pending | #4 | running    | N/A   | pending | #5 | running    | N/A   | pending
2018-06-05 05:55:02.995692     | custom:v37           | running    |  837.99 | #1 | running    | 2.7%  |   28.19 | #2 | running    | 2.8%  | 1172.02 | #3 | running    | 2.3%  |  456.77 | #4 | running    | 2.4%  | 1458.48 | #5 | running    | 2.4%  | 1074.50
2018-06-05 06:00:02.611465     | custom:v37           | running    |  856.32 | #1 | running    | 3.6%  |  275.02 | #2 | running    | 3.9%  |  871.96 | #3 | running    | 3.8%  |  414.04 | #4 | running    | 3.3%  | 1472.48 | #5 | running    | 3.6%  | 1248.11
2018-06-05 06:05:03.083685     | custom:v37           | running    | 1249.27 | #1 | running    | 5.0%  | 1771.55 | #2 | running    | 4.8%  | 1202.68 | #3 | running    | 4.9%  |  416.05 | #4 | running    | 4.8%  | 1390.35 | #5 | running    | 4.4%  | 1465.73
2018-06-05 06:10:02.672312     | custom:v37           | running    | 1579.18 | #1 | running    | 5.9%  | 3187.70 | #2 | running    | 5.8%  | 1299.22 | #3 | running    | 5.8%  |  438.19 | #4 | running    | 5.8%  | 1437.40 | #5 | running    | 5.7%  | 1533.36
2018-06-05 06:15:03.119801     | custom:v37           | running    | 1570.84 | #1 | running    | 6.8%  | 2968.70 | #2 | running    | 7.2%  | 1371.42 | #3 | running    | 7.1%  |  465.36 | #4 | running    | 6.9%  | 1459.45 | #5 | running    | 6.8%  | 1589.26
2018-06-05 06:20:02.641902     | custom:v37           | running    | 1527.97 | #1 | running    | 8.1%  | 2566.10 | #2 | running    | 8.0%  | 1455.90 | #3 | running    | 8.1%  |  499.91 | #4 | running    | 7.9%  | 1482.39 | #5 | running    | 7.8%  | 1635.53
2018-06-05 06:25:03.873032     | custom:v37           | running    | 1599.75 | #1 | running    | 9.1%  | 2607.73 | #2 | running    | 9.4%  | 1599.25 | #3 | running    | 9.3%  |  536.11 | #4 | running    | 8.8%  | 1539.10 | #5 | running    | 8.9%  | 1716.56
2018-06-05 06:30:02.583402     | custom:v37           | running    | 1655.10 | #1 | running    | 10.5% | 2644.43 | #2 | running    | 10.5% | 1717.83 | #3 | running    | 10.2% |  550.55 | #4 | running    | 10.2% | 1618.36 | #5 | running    | 10.0% | 1744.35
2018-06-05 06:35:03.062737     | custom:v37           | running    | 1829.57 | #1 | running    | 11.6% | 3227.48 | #2 | running    | 11.6% | 1910.08 | #3 | running    | 11.5% |  577.67 | #4 | running    | 11.1% | 1674.30 | #5 | running    | 11.0% | 1758.34
2018-06-05 06:40:02.622006     | custom:v37           | running    | 1965.60 | #1 | running    | 12.5% | 3649.36 | #2 | running    | 12.6% | 2024.81 | #3 | running    | 12.5% |  591.38 | #4 | running    | 12.0% | 1716.54 | #5 | running    | 12.0% | 1845.92
2018-06-05 06:45:03.073869     | custom:v37           | running    | 2044.51 | #1 | running    | 13.6% | 3770.08 | #2 | running    | 13.8% | 2094.57 | #3 | running    | 13.4% |  607.31 | #4 | running    | 13.4% | 1773.72 | #5 | running    | 13.1% | 1976.89
2018-06-05 06:50:02.712115     | custom:v37           | running    | 2208.36 | #1 | running    | 14.6% | 4395.04 | #2 | running    | 14.8% | 2116.45 | #3 | running    | 14.8% |  640.49 | #4 | running    | 14.3% | 1808.58 | #5 | running    | 14.2% | 2081.21
2018-06-05 06:55:03.271962     | custom:v37           | running    | 2386.32 | #1 | running    | 16.0% | 5128.52 | #2 | running    | 15.9% | 2134.38 | #3 | running    | 15.7% |  658.75 | #4 | running    | 15.7% | 1850.29 | #5 | running    | 15.2% | 2159.67
2018-06-05 07:00:02.805543     | custom:v37           | running    | 2545.96 | #1 | running    | 17.2% | 5751.81 | #2 | running    | 16.9% | 2142.07 | #3 | running    | 16.8% |  694.03 | #4 | running    | 16.6% | 1878.53 | #5 | running    | 16.3% | 2263.38
2018-06-05 07:05:03.307889     | custom:v37           | running    | 2600.16 | #1 | running    | 18.3% | 5891.58 | #2 | running    | 18.2% | 2158.68 | #3 | running    | 18.1% |  712.84 | #4 | running    | 17.5% | 1907.67 | #5 | running    | 17.2% | 2330.04
2018-06-05 07:10:02.803582     | custom:v37           | running    | 2700.98 | #1 | running    | 19.4% | 6222.51 | #2 | running    | 19.2% | 2198.29 | #3 | running    | 19.1% |  739.90 | #4 | running    | 18.5% | 1933.90 | #5 | running    | 18.2% | 2410.30
2018-06-05 07:15:03.326802     | custom:v37           | running    | 2772.27 | #1 | running    | 20.4% | 6441.02 | #2 | running    | 20.0% | 2229.35 | #3 | running    | 20.1% |  756.87 | #4 | running    | 19.9% | 1956.35 | #5 | running    | 19.3% | 2477.78
2018-06-05 07:20:02.939362     | custom:v37           | running    | 2838.08 | #1 | running    | 21.4% | 6609.00 | #2 | running    | 21.4% | 2285.56 | #3 | running    | 21.0% |  769.25 | #4 | running    | 20.8% | 1976.28 | #5 | running    | 20.3% | 2550.29
2018-06-05 07:25:03.420240     | custom:v37           | running    | 2894.59 | #1 | running    | 22.6% | 6749.04 | #2 | running    | 22.2% | 2298.97 | #3 | running    | 22.5% |  808.92 | #4 | running    | 22.1% | 2001.21 | #5 | running    | 21.3% | 2614.81
2018-06-05 07:30:02.932100     | custom:v37           | running    | 2949.27 | #1 | running    | 23.7% | 6839.63 | #2 | running    | 23.7% | 2355.33 | #3 | running    | 23.6% |  846.33 | #4 | running    | 23.0% | 2017.53 | #5 | running    | 22.4% | 2687.52
2018-06-05 07:35:03.420061     | custom:v37           | running    | 2986.60 | #1 | running    | 24.8% | 6923.60 | #2 | running    | 24.6% | 2363.26 | #3 | running    | 24.6% |  866.85 | #4 | running    | 24.4% | 2041.20 | #5 | running    | 23.4% | 2738.09
2018-06-05 07:40:02.926701     | custom:v37           | running    | 3025.12 | #1 | running    | 25.9% | 7005.24 | #2 | running    | 25.8% | 2370.77 | #3 | running    | 25.8% |  907.70 | #4 | running    | 25.3% | 2056.03 | #5 | running    | 24.4% | 2785.89
2018-06-05 07:45:03.422610     | custom:v37           | running    | 3064.05 | #1 | running    | 27.0% | 7074.92 | #2 | running    | 26.7% | 2375.16 | #3 | running    | 26.8% |  968.84 | #4 | running    | 26.2% | 2070.39 | #5 | running    | 25.4% | 2830.94
2018-06-05 07:50:02.936555     | custom:v37           | running    | 3089.84 | #1 | running    | 28.1% | 7132.32 | #2 | running    | 28.0% | 2377.16 | #3 | running    | 27.7% |  978.53 | #4 | running    | 27.5% | 2091.96 | #5 | running    | 26.4% | 2869.21
2018-06-05 07:55:03.418990     | custom:v37           | running    | 3114.93 | #1 | running    | 29.2% | 7183.72 | #2 | running    | 29.0% | 2381.72 | #3 | running    | 29.1% | 1002.27 | #4 | running    | 28.4% | 2100.52 | #5 | running    | 27.5% | 2906.43
2018-06-05 08:00:02.925426     | custom:v37           | running    | 3136.52 | #1 | running    | 30.3% | 7227.26 | #2 | running    | 30.0% | 2384.82 | #3 | running    | 30.0% | 1010.80 | #4 | running    | 29.8% | 2116.18 | #5 | running    | 28.6% | 2943.56
2018-06-05 08:05:03.413274     | custom:v37           | running    | 3154.61 | #1 | running    | 31.3% | 7265.26 | #2 | running    | 30.9% | 2385.58 | #3 | running    | 31.4% | 1024.10 | #4 | running    | 30.7% | 2127.50 | #5 | running    | 29.4% | 2970.63
2018-06-05 08:10:03.012069     | custom:v37           | running    | 3171.39 | #1 | running    | 32.5% | 7301.55 | #2 | running    | 31.9% | 2391.20 | #3 | running    | 32.3% | 1032.39 | #4 | running    | 31.6% | 2135.49 | #5 | running    | 30.7% | 2996.30
2018-06-05 08:15:02.694279     | custom:v37           | running    | 3187.14 | #1 | running    | 33.5% | 7328.86 | #2 | running    | 33.2% | 2396.01 | #3 | running    | 33.2% | 1040.85 | #4 | running    | 32.9% | 2151.09 | #5 | running    | 31.6% | 3018.90
2018-06-05 08:20:03.206441     | custom:v37           | running    | 3203.62 | #1 | running    | 34.7% | 7357.68 | #2 | running    | 34.1% | 2397.57 | #3 | running    | 34.5% | 1057.72 | #4 | running    | 33.8% | 2161.24 | #5 | running    | 32.5% | 3043.88
2018-06-05 08:25:02.873918     | custom:v37           | running    | 3218.65 | #1 | running    | 35.8% | 7381.99 | #2 | running    | 35.1% | 2399.18 | #3 | running    | 35.5% | 1073.10 | #4 | running    | 35.2% | 2173.71 | #5 | running    | 33.5% | 3065.27
2018-06-05 08:30:03.319191     | custom:v37           | running    | 3232.38 | #1 | running    | 36.9% | 7399.74 | #2 | running    | 36.4% | 2409.84 | #3 | running    | 36.6% | 1092.09 | #4 | running    | 36.1% | 2179.67 | #5 | running    | 34.5% | 3080.57
