2018-05-30 06:35:02.654067     | custom:v23           | running    |  618.16 | #1 | running    | 1.1%  |   45.36 | #2 | running    | N/A   | pending | #3 | running    | 1.7%  | 2427.29 | #4 | running    | 1.1%  |    0.00 | #5 | running    | 1.5%  |   -0.00
2018-05-30 06:40:03.051693     | custom:v23           | running    |  454.65 | #1 | running    | 2.7%  |  269.19 | #2 | running    | 2.5%  |  694.15 | #3 | running    | 3.0%  |  935.64 | #4 | running    | 2.7%  |  333.19 | #5 | running    | 2.7%  |   41.06
2018-05-30 06:45:02.442355     | custom:v23           | running    |  812.90 | #1 | running    | 4.1%  |  882.23 | #2 | running    | 3.7%  | 1678.16 | #3 | running    | 4.1%  |  626.98 | #4 | running    | 3.9%  |  849.77 | #5 | running    | 4.1%  |   27.37
2018-05-30 06:50:02.681314     | custom:v23           | running    |  899.36 | #1 | running    | 5.1%  | 1730.64 | #2 | running    | 4.5%  | 1169.37 | #3 | running    | 4.8%  |  550.13 | #4 | running    | 5.0%  |  966.52 | #5 | running    | 5.0%  |   80.15
2018-05-30 06:55:02.929081     | custom:v23           | running    |  912.21 | #1 | running    | 6.0%  | 1704.33 | #2 | running    | 5.4%  |  940.15 | #3 | running    | 5.9%  |  655.40 | #4 | running    | 5.9%  |  972.77 | #5 | running    | 6.0%  |  288.42
2018-05-30 07:00:03.307755     | custom:v23           | running    | 1079.13 | #1 | running    | 7.3%  | 1982.78 | #2 | running    | 6.8%  |  991.13 | #3 | running    | 7.2%  |  692.69 | #4 | running    | 7.0%  | 1009.52 | #5 | running    | 7.5%  |  719.54
2018-05-30 07:05:02.555787     | custom:v23           | running    | 1209.80 | #1 | running    | 8.3%  | 1918.21 | #2 | running    | 7.9%  | 1211.85 | #3 | running    | 8.1%  |  717.76 | #4 | running    | 7.8%  | 1044.92 | #5 | running    | 8.5%  | 1156.25
2018-05-30 07:10:02.774648     | custom:v23           | running    | 1246.10 | #1 | running    | 9.7%  | 1804.91 | #2 | running    | 9.0%  | 1310.82 | #3 | running    | 9.1%  |  760.53 | #4 | running    | 9.1%  | 1093.41 | #5 | running    | 9.5%  | 1260.84
2018-05-30 07:15:03.176354     | custom:v23           | running    | 1363.16 | #1 | running    | 10.7% | 2198.19 | #2 | running    | 9.9%  | 1471.96 | #3 | running    | 10.0% |  792.61 | #4 | running    | 9.9%  | 1117.08 | #5 | running    | 10.8% | 1235.97
2018-05-30 07:20:02.425275     | custom:v23           | running    | 1562.23 | #1 | running    | 12.0% | 2942.74 | #2 | running    | 11.1% | 1648.80 | #3 | running    | 11.4% |  825.36 | #4 | running    | 11.2% | 1155.38 | #5 | running    | 11.5% | 1238.89
2018-05-30 07:25:02.688548     | custom:v23           | running    | 1688.77 | #1 | running    | 13.2% | 3375.17 | #2 | running    | 12.1% | 1801.17 | #3 | running    | 12.3% |  846.52 | #4 | running    | 12.3% | 1190.08 | #5 | running    | 12.8% | 1230.92
2018-05-30 07:30:02.939928     | custom:v23           | running    | 1802.38 | #1 | running    | 14.0% | 3790.12 | #2 | running    | 13.1% | 1888.05 | #3 | running    | 13.2% |  882.59 | #4 | running    | 13.3% | 1215.85 | #5 | running    | 14.1% | 1235.31
2018-05-30 07:35:03.204788     | custom:v23           | running    | 1907.13 | #1 | running    | 15.4% | 4113.25 | #2 | running    | 14.2% | 2020.86 | #3 | running    | 14.6% |  927.40 | #4 | running    | 14.3% | 1235.24 | #5 | running    | 15.1% | 1238.89
