2018-05-29 08:50:02.583893     | custom:v24           | running    |  437.56 | #1 | errored    |       |    0.00 | #2 | errored    |       |  130.94 | #3 | running    | 1.5%  |  602.26 | #4 | rebooting  |       |    0.00 | #5 | running    | 1.4%  | 1454.58
2018-05-29 09:05:02.380513     | custom:v24           | running    |  125.19 | #1 | running    | 2.0%  |    0.00 | #2 | rebooting  |       | pending | #3 | running    | 2.0%  |    0.00 | #4 | running    | 2.0%  |  477.26 | #5 | running    | 2.3%  |   23.51
2018-05-29 09:10:02.625656     | custom:v24           | running    |  577.20 | #1 | running    | 3.2%  |    0.00 | #2 | starting   | N/A   | pending | #3 | running    | 3.4%  |  470.57 | #4 | running    | 3.3%  |  586.62 | #5 | running    | 3.6%  | 1251.60
2018-05-29 09:15:03.030040     | custom:v24           | running    |  699.29 | #1 | running    | 4.5%  |    0.00 | #2 | running    | 1.4%  | 1081.10 | #3 | running    | 4.3%  |  525.78 | #4 | running    | 4.6%  |  546.64 | #5 | running    | 4.5%  | 1342.92
2018-05-29 09:20:02.283249     | custom:v24           | running    |  892.70 | #1 | running    | 5.4%  |    0.00 | #2 | running    | 3.0%  | 1852.39 | #3 | running    | 5.8%  |  553.07 | #4 | running    | 5.9%  |  691.93 | #5 | running    | 6.2%  | 1366.12
2018-05-29 09:25:02.510641     | custom:v24           | running    |  900.84 | #1 | running    | 6.8%  |    0.00 | #2 | running    | 4.0%  | 1772.91 | #3 | running    | 7.2%  |  579.67 | #4 | running    | 6.8%  |  746.98 | #5 | running    | 7.5%  | 1404.64
2018-05-29 09:30:02.810400     | custom:v24           | running    |  955.87 | #1 | running    | 7.7%  |   -0.00 | #2 | running    | 5.3%  | 1929.38 | #3 | running    | 8.6%  |  619.74 | #4 | running    | 8.4%  |  760.26 | #5 | running    | 8.7%  | 1469.96
2018-05-29 09:35:03.014529     | custom:v24           | running    | 1071.98 | #1 | running    | 9.0%  |  350.11 | #2 | running    | 6.6%  | 2020.66 | #3 | running    | 9.9%  |  669.75 | #4 | running    | 9.9%  |  770.39 | #5 | running    | 9.8%  | 1549.01
2018-05-29 09:40:02.279408     | custom:v24           | running    | 1196.26 | #1 | running    | 10.4% |  680.75 | #2 | running    | 7.8%  | 2153.73 | #3 | running    | 11.3% |  731.66 | #4 | running    | 11.1% |  763.70 | #5 | running    | 11.3% | 1651.43
2018-05-29 09:45:02.495470     | custom:v24           | running    | 1259.62 | #1 | running    | 11.3% |  805.06 | #2 | running    | 9.1%  | 2199.01 | #3 | running    | 12.3% |  788.17 | #4 | running    | 12.0% |  731.18 | #5 | running    | 12.5% | 1774.66
2018-05-29 09:50:02.759649     | custom:v24           | running    | 1305.54 | #1 | running    | 12.6% |  763.49 | #2 | running    | 10.4% | 2337.38 | #3 | running    | 13.8% |  879.53 | #4 | running    | 13.4% |  699.58 | #5 | running    | 13.5% | 1847.72
2018-05-29 09:55:03.018026     | custom:v24           | running    | 1345.01 | #1 | running    | 13.5% |  779.85 | #2 | running    | 11.4% | 2426.56 | #3 | running    | 15.2% |  916.81 | #4 | running    | 14.7% |  667.65 | #5 | running    | 15.1% | 1934.19
