2018-05-30 14:35:02.730231     | custom:v25           | running    |  496.99 | #1 | running    | 1.1%  |   55.76 | #2 | running    | 2.0%  |    0.00 | #3 | running    | 1.5%  |    0.00 | #4 | running    | 1.4%  |  763.15 | #5 | running    | 1.6%  | 1666.02
2018-05-30 14:40:03.027106     | custom:v25           | running    |  624.79 | #1 | running    | 2.8%  |   96.80 | #2 | running    | 2.7%  |    0.00 | #3 | running    | 3.0%  |  448.69 | #4 | running    | 2.8%  |  866.33 | #5 | running    | 3.0%  | 1712.11
2018-05-30 14:45:02.309823     | custom:v25           | running    |  674.04 | #1 | running    | 3.7%  |  297.81 | #2 | running    | 4.1%  |   61.76 | #3 | running    | 4.1%  |  445.36 | #4 | running    | 3.7%  |  872.42 | #5 | running    | 3.8%  | 1692.84
2018-05-30 14:50:02.744275     | custom:v25           | running    | 1102.96 | #1 | running    | 4.6%  | 1603.57 | #2 | running    | 5.3%  | 1022.58 | #3 | running    | 4.8%  |  479.80 | #4 | running    | 4.6%  |  770.99 | #5 | running    | 5.2%  | 1637.87
2018-05-30 14:55:03.018775     | custom:v25           | running    | 1164.64 | #1 | running    | 5.8%  | 1652.32 | #2 | running    | 6.4%  | 1343.58 | #3 | running    | 6.0%  |  520.62 | #4 | running    | 6.0%  |  775.30 | #5 | running    | 6.3%  | 1531.37
2018-05-30 15:00:02.342895     | custom:v25           | running    | 1180.54 | #1 | running    | 7.0%  | 1638.72 | #2 | running    | 7.5%  | 1471.91 | #3 | running    | 7.0%  |  582.55 | #4 | running    | 7.0%  |  729.57 | #5 | running    | 7.4%  | 1479.95
2018-05-30 15:05:02.622114     | custom:v25           | running    | 1207.54 | #1 | running    | 7.9%  | 1580.36 | #2 | running    | 8.4%  | 1608.75 | #3 | running    | 8.4%  |  636.24 | #4 | running    | 7.9%  |  764.54 | #5 | running    | 8.5%  | 1447.80
2018-05-30 15:10:02.925685     | custom:v25           | running    | 1250.44 | #1 | running    | 8.8%  | 1530.73 | #2 | running    | 9.4%  | 1720.32 | #3 | running    | 9.3%  |  685.55 | #4 | running    | 9.1%  |  906.51 | #5 | running    | 9.5%  | 1409.10
2018-05-30 15:15:03.245115     | custom:v25           | running    | 1293.30 | #1 | running    | 10.2% | 1452.17 | #2 | running    | 10.8% | 1896.16 | #3 | running    | 10.7% |  768.63 | #4 | running    | 10.1% |  945.79 | #5 | running    | 10.4% | 1403.75
2018-05-30 15:20:02.510601     | custom:v25           | running    | 1328.20 | #1 | running    | 11.1% | 1416.43 | #2 | running    | 11.9% | 2060.67 | #3 | running    | 11.6% |  796.53 | #4 | running    | 11.2% |  977.00 | #5 | running    | 11.8% | 1388.74
2018-05-30 15:25:02.799123     | custom:v25           | running    | 1347.87 | #1 | running    | 12.0% | 1384.58 | #2 | running    | 13.0% | 2159.33 | #3 | running    | 12.6% |  825.92 | #4 | running    | 12.1% |  985.51 | #5 | running    | 12.7% | 1384.03
