2018-05-30 22:50:03.043804     | custom:v27           | running    | 1090.52 | #1 | running    | 2.3%  |    0.00 | #2 | running    | 2.3%  |    9.23 | #3 | running    | 2.3%  | 3202.87 | #4 | running    | 2.4%  | 1227.62 | #5 | running    | 2.6%  | 1012.89
2018-05-30 22:55:02.492612     | custom:v27           | running    | 1056.48 | #1 | running    | 3.2%  |    0.00 | #2 | running    | 3.3%  |  244.19 | #3 | running    | 3.3%  | 2413.40 | #4 | running    | 3.4%  | 1440.14 | #5 | running    | 3.6%  | 1184.65
2018-05-30 23:00:03.077846     | custom:v27           | running    |  947.86 | #1 | running    | 4.5%  |   42.91 | #2 | running    | 4.6%  | 1050.07 | #3 | running    | 4.5%  |  967.06 | #4 | running    | 4.4%  | 1469.66 | #5 | running    | 4.3%  | 1209.58
2018-05-30 23:05:02.517692     | custom:v27           | running    |  936.25 | #1 | running    | 5.6%  |  182.25 | #2 | running    | 5.5%  |  934.99 | #3 | running    | 5.3%  | 1077.75 | #4 | running    | 5.6%  | 1280.97 | #5 | running    | 5.6%  | 1205.30
2018-05-30 23:10:02.969005     | custom:v27           | running    |  981.26 | #1 | running    | 6.9%  |  204.61 | #2 | running    | 6.5%  |  906.99 | #3 | running    | 6.7%  | 1185.68 | #4 | running    | 6.6%  | 1306.38 | #5 | running    | 6.8%  | 1302.67
2018-05-30 23:15:03.533813     | custom:v27           | running    | 1148.80 | #1 | running    | 8.0%  |  259.69 | #2 | running    | 8.0%  | 1431.65 | #3 | running    | 7.6%  | 1301.06 | #4 | running    | 8.0%  | 1374.92 | #5 | running    | 7.7%  | 1376.66
2018-05-30 23:20:03.094899     | custom:v27           | running    | 1232.75 | #1 | running    | 9.1%  |  274.12 | #2 | running    | 9.0%  | 1625.90 | #3 | running    | 8.6%  | 1391.98 | #4 | running    | 8.9%  | 1409.33 | #5 | running    | 8.9%  | 1462.42
2018-05-30 23:25:02.580101     | custom:v27           | running    | 1340.39 | #1 | running    | 10.2% |  290.50 | #2 | running    | 10.2% | 1799.11 | #3 | running    | 10.1% | 1559.42 | #4 | running    | 10.2% | 1463.69 | #5 | running    | 10.0% | 1589.23
2018-05-30 23:30:03.039384     | custom:v27           | running    | 1410.14 | #1 | running    | 11.2% |  346.09 | #2 | running    | 11.3% | 1894.02 | #3 | running    | 11.0% | 1603.17 | #4 | running    | 11.3% | 1518.76 | #5 | running    | 11.0% | 1688.68
2018-05-30 23:35:02.471131     | custom:v27           | running    | 1534.60 | #1 | running    | 12.3% |  658.30 | #2 | running    | 12.4% | 1986.64 | #3 | running    | 12.0% | 1632.64 | #4 | running    | 12.2% | 1563.57 | #5 | running    | 12.0% | 1831.86
2018-05-30 23:40:02.986967     | custom:v27           | running    | 1627.49 | #1 | running    | 13.4% |  801.26 | #2 | running    | 13.5% | 2094.72 | #3 | running    | 13.0% | 1684.24 | #4 | running    | 13.5% | 1620.48 | #5 | running    | 13.1% | 1936.76
2018-05-30 23:45:02.491596     | custom:v27           | running    | 1688.24 | #1 | running    | 14.3% |  816.25 | #2 | running    | 14.4% | 2130.43 | #3 | running    | 14.3% | 1734.80 | #4 | running    | 14.4% | 1650.59 | #5 | running    | 14.2% | 2109.13
2018-05-30 23:50:02.943579     | custom:v27           | running    | 1728.31 | #1 | running    | 15.6% |  829.34 | #2 | running    | 15.4% | 2143.49 | #3 | running    | 15.6% | 1784.91 | #4 | running    | 15.3% | 1662.71 | #5 | running    | 15.0% | 2221.12
2018-05-30 23:55:03.440444     | custom:v27           | running    | 1782.33 | #1 | running    | 16.5% |  822.43 | #2 | running    | 16.7% | 2159.51 | #3 | running    | 16.6% | 1814.54 | #4 | running    | 16.6% | 1755.00 | #5 | running    | 16.2% | 2360.15
2018-05-31 00:00:02.909867     | custom:v27           | running    | 1991.53 | #1 | running    | 17.8% | 1728.34 | #2 | running    | 17.6% | 2168.44 | #3 | running    | 17.5% | 1839.20 | #4 | running    | 17.5% | 1774.23 | #5 | running    | 17.2% | 2447.42
2018-05-31 00:05:03.339623     | custom:v27           | running    | 2107.90 | #1 | running    | 19.0% | 2158.90 | #2 | running    | 19.0% | 2182.37 | #3 | running    | 18.8% | 1874.17 | #4 | running    | 18.9% | 1799.03 | #5 | running    | 18.3% | 2525.03
2018-05-31 00:10:02.853325     | custom:v27           | running    | 2182.48 | #1 | running    | 20.1% | 2358.98 | #2 | running    | 20.1% | 2195.38 | #3 | running    | 19.8% | 1898.42 | #4 | running    | 19.9% | 1875.60 | #5 | running    | 19.2% | 2584.02
2018-05-31 00:15:03.335036     | custom:v27           | running    | 2364.61 | #1 | running    | 21.3% | 3157.04 | #2 | running    | 21.0% | 2202.20 | #3 | running    | 20.7% | 1928.06 | #4 | running    | 21.2% | 1898.27 | #5 | running    | 20.1% | 2637.47
2018-05-31 00:20:02.831666     | custom:v27           | running    | 2543.74 | #1 | running    | 22.5% | 3939.10 | #2 | running    | 22.3% | 2208.42 | #3 | running    | 22.1% | 1965.43 | #4 | running    | 22.1% | 1909.48 | #5 | running    | 21.4% | 2696.30
2018-05-31 00:25:03.281299     | custom:v27           | running    | 2669.76 | #1 | running    | 23.6% | 4473.60 | #2 | running    | 23.2% | 2213.75 | #3 | running    | 23.0% | 1983.84 | #4 | running    | 23.2% | 1943.84 | #5 | running    | 22.4% | 2733.76
2018-05-31 00:30:02.748868     | custom:v27           | running    | 2768.40 | #1 | running    | 24.7% | 4898.25 | #2 | running    | 24.6% | 2222.87 | #3 | running    | 23.9% | 2010.83 | #4 | running    | 24.1% | 1946.55 | #5 | running    | 23.2% | 2763.50
2018-05-31 00:35:03.204707     | custom:v27           | running    | 2828.24 | #1 | running    | 25.8% | 5130.98 | #2 | running    | 25.5% | 2229.03 | #3 | running    | 25.3% | 2036.07 | #4 | running    | 25.6% | 1946.17 | #5 | running    | 24.3% | 2798.95
2018-05-31 00:40:02.648997     | custom:v27           | running    | 2898.08 | #1 | running    | 26.9% | 5411.47 | #2 | running    | 26.8% | 2238.30 | #3 | running    | 26.2% | 2060.84 | #4 | running    | 26.5% | 1950.21 | #5 | running    | 25.4% | 2829.55
2018-05-31 00:45:03.090079     | custom:v27           | running    | 2956.37 | #1 | running    | 28.0% | 5637.58 | #2 | running    | 27.7% | 2244.74 | #3 | running    | 27.6% | 2093.67 | #4 | running    | 27.4% | 1955.19 | #5 | running    | 26.3% | 2850.68
2018-05-31 00:50:02.598798     | custom:v27           | running    | 3011.23 | #1 | running    | 29.2% | 5838.77 | #2 | running    | 29.1% | 2254.08 | #3 | running    | 28.5% | 2110.67 | #4 | running    | 28.9% | 1975.90 | #5 | running    | 27.2% | 2876.75
2018-05-31 00:55:03.073749     | custom:v27           | running    | 3056.79 | #1 | running    | 30.2% | 5994.08 | #2 | running    | 30.0% | 2260.10 | #3 | running    | 29.4% | 2132.97 | #4 | running    | 29.8% | 1984.85 | #5 | running    | 28.6% | 2911.98
2018-05-31 01:00:02.590484     | custom:v27           | running    | 3104.29 | #1 | running    | 31.3% | 6117.35 | #2 | running    | 31.3% | 2270.58 | #3 | running    | 30.7% | 2156.69 | #4 | running    | 30.9% | 2038.66 | #5 | running    | 29.6% | 2938.18
2018-05-31 01:05:03.076112     | custom:v27           | running    | 3148.61 | #1 | running    | 32.5% | 6226.84 | #2 | running    | 32.2% | 2276.23 | #3 | running    | 31.7% | 2165.21 | #4 | running    | 32.0% | 2113.84 | #5 | running    | 30.6% | 2960.92
2018-05-31 01:10:02.567260     | custom:v27           | running    | 3179.97 | #1 | running    | 33.6% | 6312.16 | #2 | running    | 33.1% | 2284.50 | #3 | running    | 33.0% | 2199.26 | #4 | running    | 33.3% | 2130.81 | #5 | running    | 31.4% | 2973.12
2018-05-31 01:15:03.038037     | custom:v27           | running    | 3211.29 | #1 | running    | 34.7% | 6402.36 | #2 | running    | 34.6% | 2298.84 | #3 | running    | 34.0% | 2224.11 | #4 | running    | 34.2% | 2132.56 | #5 | running    | 32.5% | 2998.60
2018-05-31 01:20:02.517960     | custom:v27           | running    | 3250.95 | #1 | running    | 35.8% | 6484.66 | #2 | running    | 35.5% | 2303.95 | #3 | running    | 35.0% | 2232.84 | #4 | running    | 35.5% | 2214.92 | #5 | running    | 33.5% | 3018.35
2018-05-31 01:25:02.998583     | custom:v27           | running    | 3302.22 | #1 | running    | 36.9% | 6553.67 | #2 | running    | 36.7% | 2338.29 | #3 | running    | 36.3% | 2253.30 | #4 | running    | 36.6% | 2327.58 | #5 | running    | 34.7% | 3038.29
2018-05-31 01:30:02.574187     | custom:v27           | running    | 3320.70 | #1 | running    | 38.0% | 6599.32 | #2 | running    | 37.9% | 2372.70 | #3 | running    | 37.2% | 2255.93 | #4 | running    | 37.6% | 2322.44 | #5 | running    | 35.5% | 3053.14
2018-05-31 01:35:03.152561     | custom:v27           | running    | 3350.28 | #1 | running    | 38.8% | 6641.77 | #2 | running    | 38.9% | 2379.91 | #3 | running    | 38.1% | 2269.25 | #4 | running    | 38.8% | 2387.77 | #5 | running    | 36.7% | 3072.70
2018-05-31 01:40:02.611051     | custom:v27           | running    | 3369.94 | #1 | running    | 40.2% | 6691.25 | #2 | running    | 40.1% | 2417.98 | #3 | running    | 39.5% | 2298.60 | #4 | running    | 39.5% | 2357.91 | #5 | running    | 37.6% | 3083.96
2018-05-31 01:45:03.102896     | custom:v27           | running    | 3398.05 | #1 | running    | 41.3% | 6740.37 | #2 | running    | 41.3% | 2437.69 | #3 | running    | 40.4% | 2310.51 | #4 | running    | 40.7% | 2396.43 | #5 | running    | 38.9% | 3105.24
2018-05-31 01:50:02.570939     | custom:v27           | running    | 3414.36 | #1 | running    | 42.5% | 6780.53 | #2 | running    | 42.4% | 2477.40 | #3 | running    | 41.8% | 2328.17 | #4 | running    | 41.9% | 2369.44 | #5 | running    | 39.7% | 3116.27
2018-05-31 01:55:03.089965     | custom:v27           | running    | 3447.34 | #1 | running    | 43.5% | 6823.22 | #2 | running    | 43.4% | 2493.85 | #3 | running    | 42.7% | 2340.15 | #4 | running    | 43.1% | 2447.67 | #5 | running    | 40.6% | 3131.79
2018-05-31 02:00:02.587698     | custom:v27           | running    | 3478.02 | #1 | running    | 44.6% | 6849.54 | #2 | running    | 44.7% | 2511.87 | #3 | running    | 43.9% | 2364.38 | #4 | running    | 44.0% | 2518.76 | #5 | running    | 41.5% | 3145.55
2018-05-31 02:05:03.115686     | custom:v27           | running    | 3494.11 | #1 | running    | 45.8% | 6888.32 | #2 | running    | 45.7% | 2514.94 | #3 | running    | 44.8% | 2375.75 | #4 | running    | 45.3% | 2531.10 | #5 | running    | 42.9% | 3160.43
2018-05-31 02:10:02.680703     | custom:v27           | running    | 3521.27 | #1 | running    | 46.9% | 6923.69 | #2 | running    | 46.7% | 2531.42 | #3 | running    | 45.7% | 2391.10 | #4 | running    | 46.4% | 2586.98 | #5 | running    | 43.9% | 3173.17
