2018-06-01 00:05:02.925003     | custom:v29           | running    |  834.79 | #1 | running    | 0.3%  |  206.03 | #2 | running    | N/A   | pending | #3 | running    | N/A   | pending | #4 | running    | 0.5%  | 1463.56 | #5 | running    | N/A   | pending
2018-06-01 00:10:03.408716     | custom:v29           | running    |  495.73 | #1 | running    | 1.5%  |  516.77 | #2 | running    | 0.9%  |  160.03 | #3 | running    | 1.3%  |  446.89 | #4 | running    | 1.4%  | 1354.94 | #5 | running    | 1.4%  |    0.00
2018-06-01 00:15:02.872107     | custom:v29           | running    |  650.86 | #1 | running    | 2.5%  |  468.24 | #2 | running    | 2.3%  |  992.06 | #3 | running    | 2.4%  |  500.50 | #4 | running    | 2.5%  | 1293.51 | #5 | running    | 2.3%  |    0.00
2018-06-01 00:20:03.329903     | custom:v29           | running    |  755.17 | #1 | running    | 3.5%  |  673.71 | #2 | running    | 3.4%  | 1238.82 | #3 | running    | 3.0%  |  552.53 | #4 | running    | 3.5%  | 1310.79 | #5 | running    | 3.6%  |    0.00
2018-06-01 00:25:02.797135     | custom:v29           | running    |  879.08 | #1 | running    | 4.4%  | 1001.23 | #2 | running    | 4.5%  | 1410.08 | #3 | running    | 4.5%  |  609.47 | #4 | running    | 4.6%  | 1374.63 | #5 | running    | 4.5%  |    0.00
2018-06-01 00:30:03.364849     | custom:v29           | running    |  988.73 | #1 | running    | 5.9%  | 1304.57 | #2 | running    | 5.4%  | 1519.79 | #3 | running    | 5.6%  |  661.83 | #4 | running    | 6.0%  | 1457.48 | #5 | running    | 5.9%  |    0.00
2018-06-01 00:35:02.821049     | custom:v29           | running    | 1132.18 | #1 | running    | 7.0%  | 1750.98 | #2 | running    | 6.6%  | 1736.07 | #3 | running    | 6.5%  |  685.96 | #4 | running    | 6.8%  | 1487.91 | #5 | running    | 6.8%  |    0.00
2018-06-01 00:40:03.332950     | custom:v29           | running    | 1263.53 | #1 | running    | 8.1%  | 2170.20 | #2 | running    | 7.9%  | 1884.66 | #3 | running    | 7.5%  |  721.90 | #4 | running    | 8.2%  | 1540.88 | #5 | running    | 7.7%  |    0.00
2018-06-01 00:45:02.795698     | custom:v29           | running    | 1315.05 | #1 | running    | 9.2%  | 2208.47 | #2 | running    | 8.7%  | 2002.40 | #3 | running    | 9.0%  |  775.12 | #4 | running    | 9.1%  | 1589.26 | #5 | running    | 9.0%  |    0.00
2018-06-01 00:50:03.204494     | custom:v29           | running    | 1375.96 | #1 | running    | 10.2% | 2331.03 | #2 | running    | 10.2% | 2106.85 | #3 | running    | 9.9%  |  800.25 | #4 | running    | 10.2% | 1640.91 | #5 | running    | 9.9%  |    0.79
2018-06-01 00:55:02.666002     | custom:v29           | running    | 1464.26 | #1 | running    | 11.1% | 2607.94 | #2 | running    | 11.0% | 2211.37 | #3 | running    | 10.9% |  829.58 | #4 | running    | 11.1% | 1671.72 | #5 | running    | 11.3% |    0.69
2018-06-01 01:00:03.122085     | custom:v29           | running    | 1565.98 | #1 | running    | 12.3% | 2915.05 | #2 | running    | 12.4% | 2328.67 | #3 | running    | 12.2% |  871.96 | #4 | running    | 12.5% | 1713.57 | #5 | running    | 12.2% |    0.64
