2018-06-01 08:20:02.558913     | custom:v30           | running    |  170.02 | #1 | running    | 2.3%  |   17.01 | #2 | running    | 2.0%  |    0.00 | #3 | running    | 2.3%  |  745.70 | #4 | running    | 2.0%  |   87.42 | #5 | running    | 2.3%  |    0.00
2018-06-01 08:25:02.981772     | custom:v30           | running    |  274.65 | #1 | running    | 3.3%  |  181.88 | #2 | running    | 2.7%  |    0.00 | #3 | running    | 3.4%  |  454.59 | #4 | running    | 3.1%  |  736.79 | #5 | running    | 3.2%  |    0.00
2018-06-01 08:30:02.474222     | custom:v30           | running    |  427.94 | #1 | running    | 4.6%  |  709.44 | #2 | running    | 4.1%  |    0.00 | #3 | running    | 4.5%  |  512.49 | #4 | running    | 4.2%  |  856.74 | #5 | running    | 4.5%  |   61.03
2018-06-01 08:35:02.944691     | custom:v30           | running    |  590.94 | #1 | running    | 5.4%  | 1195.80 | #2 | running    | 5.0%  |    0.00 | #3 | running    | 5.2%  |  608.54 | #4 | running    | 5.4%  | 1044.63 | #5 | running    | 5.5%  |  105.72
2018-06-01 08:40:03.471430     | custom:v30           | running    |  879.34 | #1 | running    | 6.5%  | 2338.58 | #2 | running    | 6.3%  |    0.00 | #3 | running    | 6.4%  |  703.18 | #4 | running    | 6.4%  | 1226.67 | #5 | running    | 6.4%  |  128.28
2018-06-01 08:45:02.964466     | custom:v30           | running    |  891.86 | #1 | running    | 7.9%  | 2198.54 | #2 | running    | 7.2%  |    0.00 | #3 | running    | 7.8%  |  770.28 | #4 | running    | 7.6%  | 1313.43 | #5 | running    | 7.8%  |  177.06
2018-06-01 08:50:03.478113     | custom:v30           | running    |  931.02 | #1 | running    | 8.8%  | 2094.49 | #2 | running    | 8.6%  |    7.60 | #3 | running    | 8.8%  |  809.61 | #4 | running    | 8.5%  | 1373.86 | #5 | running    | 8.9%  |  369.55
2018-06-01 08:55:02.939322     | custom:v30           | running    | 1020.24 | #1 | running    | 10.1% | 2215.40 | #2 | running    | 9.5%  |  156.62 | #3 | running    | 9.7%  |  835.64 | #4 | running    | 9.4%  | 1399.70 | #5 | running    | 9.8%  |  493.83
2018-06-01 09:00:03.443893     | custom:v30           | running    | 1203.13 | #1 | running    | 11.1% | 2328.31 | #2 | running    | 10.8% |  566.73 | #3 | running    | 11.0% |  872.98 | #4 | running    | 10.8% | 1439.48 | #5 | running    | 11.2% |  808.15
2018-06-01 09:05:03.011964     | custom:v30           | running    | 1456.88 | #1 | running    | 12.2% | 2969.36 | #2 | running    | 11.9% |  903.29 | #3 | running    | 12.0% |  907.11 | #4 | running    | 11.7% | 1455.99 | #5 | running    | 12.3% | 1048.66
2018-06-01 09:10:02.479938     | custom:v30           | running    | 1760.13 | #1 | running    | 13.6% | 4008.21 | #2 | running    | 12.7% | 1157.31 | #3 | running    | 13.3% |  984.91 | #4 | running    | 13.0% | 1485.34 | #5 | running    | 13.4% | 1164.88
2018-06-01 09:15:02.917805     | custom:v30           | running    | 2021.65 | #1 | running    | 14.7% | 5026.56 | #2 | running    | 14.0% | 1282.54 | #3 | running    | 14.5% | 1045.04 | #4 | running    | 13.9% | 1502.65 | #5 | running    | 14.5% | 1251.49
2018-06-01 09:20:03.405392     | custom:v30           | running    | 2202.51 | #1 | running    | 15.7% | 5682.15 | #2 | running    | 14.9% | 1387.61 | #3 | running    | 15.3% | 1093.16 | #4 | running    | 15.3% | 1547.12 | #5 | running    | 15.5% | 1302.53
2018-06-01 09:25:02.905715     | custom:v30           | running    | 2316.14 | #1 | running    | 16.9% | 6031.26 | #2 | running    | 16.0% | 1528.18 | #3 | running    | 16.6% | 1125.28 | #4 | running    | 16.2% | 1581.54 | #5 | running    | 16.6% | 1314.44
2018-06-01 09:30:03.329645     | custom:v30           | running    | 2407.86 | #1 | running    | 18.0% | 6353.21 | #2 | running    | 17.0% | 1612.33 | #3 | running    | 17.5% | 1143.35 | #4 | running    | 17.1% | 1584.18 | #5 | running    | 17.8% | 1346.22
2018-06-01 09:35:02.884969     | custom:v30           | running    | 2492.46 | #1 | running    | 19.1% | 6584.31 | #2 | running    | 18.5% | 1670.15 | #3 | running    | 18.9% | 1193.03 | #4 | running    | 18.6% | 1643.37 | #5 | running    | 18.7% | 1371.43
2018-06-01 09:40:03.416581     | custom:v30           | running    | 2569.42 | #1 | running    | 20.3% | 6761.28 | #2 | running    | 19.3% | 1750.38 | #3 | running    | 20.0% | 1268.41 | #4 | running    | 19.5% | 1671.27 | #5 | running    | 19.8% | 1395.78
2018-06-01 09:45:02.886035     | custom:v30           | running    | 2626.71 | #1 | running    | 21.4% | 6888.88 | #2 | running    | 20.6% | 1790.35 | #3 | running    | 21.0% | 1296.37 | #4 | running    | 20.8% | 1708.26 | #5 | running    | 20.8% | 1449.71
2018-06-01 09:50:03.359118     | custom:v30           | running    | 2674.57 | #1 | running    | 22.5% | 6993.33 | #2 | running    | 21.5% | 1846.93 | #3 | running    | 22.3% | 1334.90 | #4 | running    | 21.7% | 1736.28 | #5 | running    | 21.7% | 1461.42
2018-06-01 09:55:02.805597     | custom:v30           | running    | 2740.47 | #1 | running    | 23.5% | 7067.02 | #2 | running    | 22.8% | 1913.65 | #3 | running    | 23.3% | 1404.61 | #4 | running    | 22.6% | 1758.22 | #5 | running    | 23.1% | 1558.86
2018-06-01 10:00:03.369204     | custom:v30           | running    | 2809.56 | #1 | running    | 24.6% | 7136.00 | #2 | running    | 23.9% | 1985.75 | #3 | running    | 24.4% | 1477.13 | #4 | running    | 23.7% | 1776.81 | #5 | running    | 24.0% | 1672.10
2018-06-01 10:05:02.835681     | custom:v30           | running    | 2878.72 | #1 | running    | 25.8% | 7194.86 | #2 | running    | 24.8% | 2060.18 | #3 | running    | 25.5% | 1535.47 | #4 | running    | 25.1% | 1849.13 | #5 | running    | 25.0% | 1753.96
2018-06-01 10:10:03.329208     | custom:v30           | running    | 2912.54 | #1 | running    | 26.9% | 7241.91 | #2 | running    | 26.0% | 2083.50 | #3 | running    | 26.6% | 1566.38 | #4 | running    | 26.0% | 1865.01 | #5 | running    | 26.2% | 1805.89
2018-06-01 10:15:02.802054     | custom:v30           | running    | 2970.08 | #1 | running    | 28.0% | 7282.46 | #2 | running    | 27.1% | 2114.81 | #3 | running    | 27.8% | 1598.66 | #4 | running    | 27.3% | 1939.58 | #5 | running    | 27.2% | 1914.90
2018-06-01 10:20:03.265796     | custom:v30           | running    | 2999.94 | #1 | running    | 29.1% | 7319.98 | #2 | running    | 28.3% | 2143.45 | #3 | running    | 28.8% | 1640.40 | #4 | running    | 28.1% | 1945.26 | #5 | running    | 28.6% | 1950.62
2018-06-01 10:25:02.691593     | custom:v30           | running    | 3034.02 | #1 | running    | 30.3% | 7353.75 | #2 | running    | 29.2% | 2168.16 | #3 | running    | 30.0% | 1662.42 | #4 | running    | 29.5% | 1960.34 | #5 | running    | 29.6% | 2025.46
2018-06-01 10:30:03.170378     | custom:v30           | running    | 3073.61 | #1 | running    | 31.4% | 7379.82 | #2 | running    | 30.4% | 2190.72 | #3 | running    | 31.1% | 1688.72 | #4 | running    | 30.4% | 1972.74 | #5 | running    | 30.7% | 2136.04
2018-06-01 10:35:02.628555     | custom:v30           | running    | 3123.38 | #1 | running    | 32.4% | 7404.65 | #2 | running    | 31.5% | 2242.83 | #3 | running    | 32.3% | 1735.18 | #4 | running    | 31.7% | 2015.30 | #5 | running    | 31.9% | 2218.94
2018-06-01 10:40:03.069945     | custom:v30           | running    | 3155.79 | #1 | running    | 33.6% | 7427.67 | #2 | running    | 32.5% | 2256.39 | #3 | running    | 33.3% | 1766.80 | #4 | running    | 32.6% | 2025.30 | #5 | running    | 32.9% | 2302.80
2018-06-01 10:45:02.502381     | custom:v30           | running    | 3197.47 | #1 | running    | 34.7% | 7447.97 | #2 | running    | 33.4% | 2262.06 | #3 | running    | 34.4% | 1801.52 | #4 | running    | 33.9% | 2098.71 | #5 | running    | 33.9% | 2377.10
2018-06-01 10:50:03.005549     | custom:v30           | running    | 3223.15 | #1 | running    | 35.8% | 7465.82 | #2 | running    | 34.7% | 2264.68 | #3 | running    | 35.5% | 1833.03 | #4 | running    | 34.8% | 2106.82 | #5 | running    | 35.0% | 2445.39
2018-06-01 10:55:02.475739     | custom:v30           | running    | 3246.82 | #1 | running    | 36.9% | 7482.74 | #2 | running    | 35.8% | 2255.72 | #3 | running    | 36.6% | 1854.87 | #4 | running    | 36.1% | 2149.00 | #5 | running    | 35.9% | 2491.75
2018-06-01 11:00:02.939426     | custom:v30           | running    | 3266.19 | #1 | running    | 38.0% | 7497.50 | #2 | running    | 37.0% | 2262.87 | #3 | running    | 37.6% | 1873.18 | #4 | running    | 37.0% | 2156.27 | #5 | running    | 37.1% | 2541.15
2018-06-01 11:05:03.402302     | custom:v30           | running    | 3289.28 | #1 | running    | 39.1% | 7510.60 | #2 | running    | 37.9% | 2268.70 | #3 | running    | 38.9% | 1889.29 | #4 | running    | 38.4% | 2190.02 | #5 | running    | 38.1% | 2587.78
2018-06-01 11:10:02.909656     | custom:v30           | running    | 3309.12 | #1 | running    | 40.2% | 7523.54 | #2 | running    | 39.3% | 2278.12 | #3 | running    | 39.8% | 1896.78 | #4 | running    | 39.5% | 2218.42 | #5 | running    | 39.1% | 2628.72
2018-06-01 11:15:03.377454     | custom:v30           | running    | 3323.66 | #1 | running    | 41.3% | 7534.72 | #2 | running    | 40.3% | 2276.33 | #3 | running    | 40.8% | 1911.42 | #4 | running    | 40.4% | 2225.95 | #5 | running    | 40.2% | 2669.90
2018-06-01 11:20:02.917306     | custom:v30           | running    | 3337.65 | #1 | running    | 42.4% | 7544.73 | #2 | running    | 41.2% | 2272.91 | #3 | running    | 42.1% | 1925.78 | #4 | running    | 41.8% | 2231.65 | #5 | running    | 41.3% | 2713.19
2018-06-01 11:25:03.372765     | custom:v30           | running    | 3352.61 | #1 | running    | 43.6% | 7554.81 | #2 | running    | 42.5% | 2267.80 | #3 | running    | 43.0% | 1933.72 | #4 | running    | 42.7% | 2258.52 | #5 | running    | 42.4% | 2748.23
2018-06-01 11:30:02.916064     | custom:v30           | running    | 3374.17 | #1 | running    | 44.7% | 7563.98 | #2 | running    | 43.5% | 2265.86 | #3 | running    | 44.4% | 1945.06 | #4 | running    | 43.9% | 2310.23 | #5 | running    | 43.5% | 2785.72
2018-06-01 11:35:03.382609     | custom:v30           | running    | 3383.10 | #1 | running    | 45.8% | 7571.75 | #2 | running    | 44.7% | 2275.88 | #3 | running    | 45.3% | 1952.54 | #4 | running    | 44.8% | 2307.40 | #5 | running    | 44.5% | 2807.94
2018-06-01 11:40:03.006435     | custom:v30           | running    | 3393.66 | #1 | running    | 46.9% | 7579.79 | #2 | running    | 45.7% | 2274.61 | #3 | running    | 46.6% | 1963.86 | #4 | running    | 46.2% | 2323.09 | #5 | running    | 45.4% | 2826.95
2018-06-01 11:45:02.513076     | custom:v30           | running    | 3410.20 | #1 | running    | 48.0% | 7587.26 | #2 | running    | 46.8% | 2274.01 | #3 | running    | 47.5% | 1967.48 | #4 | running    | 47.3% | 2369.35 | #5 | running    | 46.7% | 2852.89
2018-06-01 11:50:02.980301     | custom:v30           | running    | 3427.03 | #1 | running    | 49.1% | 7592.00 | #2 | running    | 48.0% | 2272.46 | #3 | running    | 48.8% | 1981.05 | #4 | running    | 48.0% | 2422.20 | #5 | running    | 47.8% | 2867.42
2018-06-01 11:55:02.565120     | custom:v30           | running    | 3446.69 | #1 | running    | 50.2% | 7599.09 | #2 | running    | 49.1% | 2281.53 | #3 | running    | 49.7% | 1988.04 | #4 | running    | 49.2% | 2483.64 | #5 | running    | 48.7% | 2881.14
2018-06-01 12:00:03.040785     | custom:v30           | running    | 3453.35 | #1 | running    | 51.4% | 7606.24 | #2 | running    | 50.2% | 2261.67 | #3 | running    | 51.1% | 2001.54 | #4 | running    | 50.2% | 2503.86 | #5 | running    | 49.8% | 2893.44
2018-06-01 12:05:02.518420     | custom:v30           | running    | 3452.08 | #1 | running    | 52.4% | 7612.70 | #2 | running    | 51.2% | 2233.28 | #3 | running    | 52.0% | 2008.68 | #4 | running    | 51.6% | 2491.84 | #5 | running    | 50.9% | 2913.88
2018-06-01 12:10:03.024233     | custom:v30           | running    | 3456.45 | #1 | running    | 53.5% | 7617.66 | #2 | running    | 52.3% | 2220.44 | #3 | running    | 53.0% | 2023.63 | #4 | running    | 52.5% | 2484.29 | #5 | running    | 52.0% | 2936.24
2018-06-01 12:15:02.486145     | custom:v30           | running    | 3459.63 | #1 | running    | 54.6% | 7622.40 | #2 | running    | 53.5% | 2212.41 | #3 | running    | 54.4% | 2035.96 | #4 | running    | 53.4% | 2480.02 | #5 | running    | 52.8% | 2947.35
2018-06-01 12:20:02.996826     | custom:v30           | running    | 3477.94 | #1 | running    | 55.5% | 7626.87 | #2 | running    | 54.3% | 2223.17 | #3 | running    | 55.4% | 2044.85 | #4 | running    | 54.6% | 2530.02 | #5 | running    | 54.0% | 2964.78
2018-06-01 12:25:02.425337     | custom:v30           | running    | 3486.20 | #1 | running    | 56.8% | 7632.27 | #2 | running    | 55.6% | 2241.26 | #3 | running    | 56.6% | 2059.54 | #4 | running    | 55.6% | 2519.61 | #5 | running    | 54.8% | 2978.32
2018-06-01 12:30:02.892779     | custom:v30           | running    | 3493.90 | #1 | running    | 57.7% | 7633.95 | #2 | running    | 56.7% | 2257.97 | #3 | running    | 57.4% | 2072.38 | #4 | running    | 56.9% | 2508.73 | #5 | running    | 56.0% | 2996.45
2018-06-01 12:35:03.466772     | custom:v30           | running    | 3502.90 | #1 | running    | 59.0% | 7638.80 | #2 | running    | 57.4% | 2273.25 | #3 | running    | 58.7% | 2087.06 | #4 | running    | 57.8% | 2501.79 | #5 | running    | 57.3% | 3013.60
2018-06-01 12:40:03.022517     | custom:v30           | running    | 3521.95 | #1 | running    | 60.1% | 7643.25 | #2 | running    | 58.7% | 2273.98 | #3 | running    | 59.6% | 2110.35 | #4 | running    | 59.0% | 2558.68 | #5 | running    | 58.1% | 3023.50
2018-06-01 12:45:02.468136     | custom:v30           | running    | 3527.48 | #1 | running    | 61.2% | 7645.18 | #2 | running    | 59.8% | 2290.60 | #3 | running    | 61.0% | 2118.00 | #4 | running    | 59.9% | 2551.46 | #5 | running    | 59.0% | 3032.15
2018-06-01 12:50:02.965888     | custom:v30           | running    | 3538.09 | #1 | running    | 62.2% | 7654.48 | #2 | running    | 60.9% | 2290.74 | #3 | running    | 61.9% | 2123.83 | #4 | running    | 61.3% | 2582.48 | #5 | running    | 60.3% | 3038.91
2018-06-01 12:55:03.512991     | custom:v30           | running    | 3546.79 | #1 | running    | 63.4% | 7658.22 | #2 | running    | 62.1% | 2295.25 | #3 | running    | 63.3% | 2136.60 | #4 | running    | 62.2% | 2594.26 | #5 | running    | 61.1% | 3049.61
2018-06-01 13:00:02.981649     | custom:v30           | running    | 3550.08 | #1 | running    | 64.5% | 7661.82 | #2 | running    | 63.2% | 2298.99 | #3 | running    | 64.4% | 2146.99 | #4 | running    | 63.5% | 2583.72 | #5 | running    | 62.0% | 3058.89
2018-06-01 13:05:02.475100     | custom:v30           | running    | 3568.15 | #1 | running    | 65.5% | 7665.09 | #2 | running    | 64.1% | 2294.95 | #3 | running    | 65.3% | 2152.74 | #4 | running    | 64.4% | 2654.95 | #5 | running    | 63.5% | 3073.04
2018-06-01 13:10:02.932588     | custom:v30           | running    | 3575.10 | #1 | running    | 66.7% | 7668.90 | #2 | running    | 65.0% | 2293.17 | #3 | running    | 66.2% | 2158.20 | #4 | running    | 65.6% | 2672.62 | #5 | running    | 64.4% | 3082.62
2018-06-01 13:15:03.394799     | custom:v30           | running    | 3584.17 | #1 | running    | 67.4% | 7667.75 | #2 | running    | 66.1% | 2291.74 | #3 | running    | 67.4% | 2165.85 | #4 | running    | 66.7% | 2701.63 | #5 | running    | 65.3% | 3093.88
2018-06-01 13:20:02.878248     | custom:v30           | running    | 3590.27 | #1 | running    | 68.9% | 7672.37 | #2 | running    | 67.6% | 2286.48 | #3 | running    | 68.8% | 2178.61 | #4 | running    | 67.6% | 2711.65 | #5 | running    | 66.3% | 3102.21
2018-06-01 13:25:03.384464     | custom:v30           | running    | 3598.80 | #1 | running    | 69.9% | 7675.38 | #2 | running    | 68.2% | 2282.32 | #3 | running    | 69.7% | 2185.99 | #4 | running    | 68.9% | 2739.00 | #5 | running    | 67.3% | 3111.28
2018-06-01 13:30:02.871377     | custom:v30           | running    | 3608.73 | #1 | running    | 71.0% | 7680.45 | #2 | running    | 69.5% | 2274.48 | #3 | running    | 70.8% | 2197.80 | #4 | running    | 69.7% | 2768.97 | #5 | running    | 68.3% | 3121.94
2018-06-01 13:35:03.362365     | custom:v30           | running    | 3618.72 | #1 | running    | 72.1% | 7683.12 | #2 | running    | 70.5% | 2283.67 | #3 | running    | 71.7% | 2202.90 | #4 | running    | 70.7% | 2791.15 | #5 | running    | 69.3% | 3132.78
2018-06-01 13:40:02.858989     | custom:v30           | running    | 3621.54 | #1 | running    | 73.2% | 7687.60 | #2 | running    | 71.9% | 2298.08 | #3 | running    | 73.0% | 2210.73 | #4 | running    | 72.2% | 2771.64 | #5 | running    | 70.3% | 3139.64
2018-06-01 13:45:03.321736     | custom:v30           | running    | 3625.88 | #1 | running    | 74.3% | 7691.11 | #2 | running    | 72.6% | 2295.50 | #3 | running    | 74.0% | 2222.25 | #4 | running    | 73.2% | 2772.66 | #5 | running    | 71.4% | 3147.90
2018-06-01 13:50:02.885921     | custom:v30           | running    | 3637.61 | #1 | running    | 75.4% | 7691.89 | #2 | running    | 74.0% | 2289.68 | #3 | running    | 75.4% | 2240.24 | #4 | running    | 74.4% | 2811.75 | #5 | running    | 72.5% | 3154.47
2018-06-01 13:55:03.326694     | custom:v30           | running    | 3638.73 | #1 | running    | 76.5% | 7694.54 | #2 | running    | 75.0% | 2284.46 | #3 | running    | 76.5% | 2246.95 | #4 | running    | 75.4% | 2803.17 | #5 | running    | 73.6% | 3164.54
2018-06-01 14:00:02.829725     | custom:v30           | running    | 3639.69 | #1 | running    | 77.6% | 7698.09 | #2 | running    | 75.9% | 2277.37 | #3 | running    | 77.4% | 2255.32 | #4 | running    | 76.3% | 2794.88 | #5 | running    | 74.7% | 3172.77
2018-06-01 14:05:03.307241     | custom:v30           | running    | 3645.43 | #1 | running    | 78.7% | 7700.05 | #2 | running    | 77.3% | 2272.18 | #3 | running    | 78.4% | 2260.00 | #4 | running    | 77.4% | 2813.94 | #5 | running    | 75.8% | 3181.00
2018-06-01 14:10:02.829133     | custom:v30           | running    | 3644.67 | #1 | running    | 79.8% | 7702.83 | #2 | running    | 78.2% | 2267.45 | #3 | running    | 79.7% | 2266.20 | #4 | running    | 78.3% | 2799.03 | #5 | running    | 77.0% | 3187.86
2018-06-01 14:15:03.411738     | custom:v30           | running    | 3650.45 | #1 | running    | 80.9% | 7704.80 | #2 | running    | 79.5% | 2259.55 | #3 | running    | 80.6% | 2273.82 | #4 | running    | 79.4% | 2822.24 | #5 | running    | 77.6% | 3191.84
2018-06-01 14:20:02.965762     | custom:v30           | running    | 3659.54 | #1 | running    | 82.0% | 7706.92 | #2 | running    | 80.5% | 2275.59 | #3 | running    | 81.9% | 2280.45 | #4 | running    | 80.5% | 2833.21 | #5 | running    | 78.8% | 3201.52
2018-06-01 14:25:03.429204     | custom:v30           | running    | 3674.42 | #1 | running    | 83.1% | 7707.87 | #2 | running    | 81.5% | 2277.82 | #3 | running    | 83.1% | 2288.51 | #4 | running    | 81.8% | 2887.85 | #5 | running    | 80.0% | 3210.05
2018-06-01 14:30:02.885957     | custom:v30           | running    | 3686.62 | #1 | running    | 84.2% | 7709.45 | #2 | running    | 82.7% | 2277.70 | #3 | running    | 83.9% | 2293.99 | #4 | running    | 82.9% | 2936.97 | #5 | running    | 80.6% | 3215.00
2018-06-01 14:35:03.397953     | custom:v30           | running    | 3690.57 | #1 | running    | 85.2% | 7710.97 | #2 | running    | 83.4% | 2287.13 | #3 | running    | 85.3% | 2303.65 | #4 | running    | 83.8% | 2929.31 | #5 | running    | 81.8% | 3221.79
2018-06-01 14:40:02.879637     | custom:v30           | running    | 3707.96 | #1 | running    | 86.4% | 7715.26 | #2 | running    | 84.8% | 2308.41 | #3 | running    | 86.2% | 2309.62 | #4 | running    | 85.2% | 2977.14 | #5 | running    | 83.1% | 3229.37
2018-06-01 14:45:03.327696     | custom:v30           | running    | 3725.48 | #1 | running    | 87.5% | 7719.05 | #2 | running    | 85.9% | 2315.62 | #3 | running    | 87.5% | 2315.17 | #4 | running    | 86.2% | 3043.94 | #5 | running    | 83.7% | 3233.62
2018-06-01 14:50:02.798786     | custom:v30           | running    | 3756.75 | #1 | running    | 88.6% | 7723.20 | #2 | running    | 87.0% | 2328.44 | #3 | running    | 88.6% | 2326.30 | #4 | running    | 87.3% | 3165.68 | #5 | running    | 85.0% | 3240.14
2018-06-01 14:55:03.301058     | custom:v30           | running    | 3792.49 | #1 | running    | 89.7% | 7724.95 | #2 | running    | 87.9% | 2333.69 | #3 | running    | 89.7% | 2334.82 | #4 | running    | 88.2% | 3321.12 | #5 | running    | 86.4% | 3247.87
2018-06-01 15:00:02.742204     | custom:v30           | running    | 3810.01 | #1 | running    | 90.8% | 7727.36 | #2 | running    | 89.1% | 2353.01 | #3 | running    | 90.5% | 2344.36 | #4 | running    | 88.8% | 3374.26 | #5 | running    | 87.0% | 3251.06
2018-06-01 15:05:03.177812     | custom:v30           | running    | 3823.09 | #1 | running    | 91.8% | 7730.39 | #2 | running    | 90.2% | 2354.91 | #3 | running    | 91.9% | 2356.74 | #4 | running    | 90.2% | 3416.65 | #5 | running    | 88.4% | 3256.77
2018-06-01 15:10:02.718424     | custom:v30           | running    | 3823.65 | #1 | running    | 92.9% | 7732.79 | #2 | running    | 91.3% | 2354.82 | #3 | running    | 92.8% | 2359.91 | #4 | running    | 91.2% | 3410.23 | #5 | running    | 89.1% | 3260.51
2018-06-01 15:15:03.177281     | custom:v30           | running    | 3840.31 | #1 | running    | 94.1% | 7732.79 | #2 | running    | 92.2% | 2381.70 | #3 | running    | 94.1% | 2367.08 | #4 | running    | 92.7% | 3451.76 | #5 | running    | 90.5% | 3268.24
2018-06-01 15:20:02.662571     | custom:v30           | running    | 3842.73 | #1 | running    | 95.1% | 7734.06 | #2 | running    | 93.4% | 2395.42 | #3 | running    | 95.2% | 2371.63 | #4 | running    | 93.8% | 3440.92 | #5 | running    | 91.2% | 3271.63
