2018-06-02 09:20:02.750574     | custom:v31           | running    |  722.72 | #1 | running    | 2.5%  |  221.51 | #2 | running    | 2.7%  |   37.46 | #3 | running    | 2.3%  |  188.67 | #4 | running    | 2.4%  | 1944.66 | #5 | running    | 2.7%  | 1221.29
2018-06-02 09:25:03.217961     | custom:v31           | running    |  847.89 | #1 | running    | 3.4%  |  221.59 | #2 | running    | 3.6%  |   49.54 | #3 | running    | 3.6%  |  573.25 | #4 | running    | 3.1%  | 1932.37 | #5 | running    | 3.8%  | 1462.68
2018-06-02 09:30:02.660548     | custom:v31           | running    |  973.64 | #1 | running    | 4.8%  |  185.13 | #2 | running    | 4.9%  |  983.75 | #3 | running    | 4.3%  |  543.69 | #4 | running    | 4.1%  | 1627.94 | #5 | running    | 4.9%  | 1527.69
2018-06-02 09:35:03.153508     | custom:v31           | running    | 1065.40 | #1 | running    | 5.7%  |  172.71 | #2 | running    | 5.9%  | 1445.47 | #3 | running    | 5.7%  |  594.99 | #4 | running    | 5.2%  | 1572.44 | #5 | running    | 6.0%  | 1541.40
2018-06-02 09:40:02.635887     | custom:v31           | running    | 1106.99 | #1 | running    | 7.0%  |  267.38 | #2 | running    | 7.0%  | 1545.77 | #3 | running    | 6.6%  |  633.66 | #4 | running    | 6.1%  | 1541.39 | #5 | running    | 7.0%  | 1546.74
2018-06-02 09:45:03.083321     | custom:v31           | running    | 1174.32 | #1 | running    | 7.9%  |  316.56 | #2 | running    | 8.2%  | 1814.58 | #3 | running    | 7.5%  |  665.70 | #4 | running    | 7.6%  | 1540.85 | #5 | running    | 8.2%  | 1533.92
2018-06-02 09:50:02.581486     | custom:v31           | running    | 1247.45 | #1 | running    | 9.3%  |  386.54 | #2 | running    | 9.2%  | 2049.54 | #3 | running    | 8.9%  |  701.58 | #4 | running    | 8.5%  | 1561.36 | #5 | running    | 8.9%  | 1538.25
2018-06-02 09:55:03.067766     | custom:v31           | running    | 1318.81 | #1 | running    | 10.2% |  420.66 | #2 | running    | 10.4% | 2296.51 | #3 | running    | 9.8%  |  730.73 | #4 | running    | 9.4%  | 1599.46 | #5 | running    | 10.2% | 1546.72
2018-06-02 10:00:02.560097     | custom:v31           | running    | 1365.42 | #1 | running    | 11.5% |  469.45 | #2 | running    | 11.4% | 2370.35 | #3 | running    | 10.7% |  758.75 | #4 | running    | 10.3% | 1618.80 | #5 | running    | 11.1% | 1609.74
2018-06-02 10:05:03.031875     | custom:v31           | running    | 1437.68 | #1 | running    | 12.4% |  493.22 | #2 | running    | 12.5% | 2460.27 | #3 | running    | 12.2% |  849.19 | #4 | running    | 11.8% | 1713.85 | #5 | running    | 12.3% | 1671.89
2018-06-02 10:10:02.509743     | custom:v31           | running    | 1479.39 | #1 | running    | 13.8% |  533.35 | #2 | running    | 13.6% | 2524.77 | #3 | running    | 13.2% |  888.78 | #4 | running    | 12.7% | 1763.00 | #5 | running    | 13.1% | 1687.05
2018-06-02 10:15:03.082311     | custom:v31           | running    | 1527.45 | #1 | running    | 14.7% |  549.64 | #2 | running    | 14.7% | 2644.01 | #3 | running    | 14.1% |  909.06 | #4 | running    | 13.6% | 1772.70 | #5 | running    | 14.6% | 1761.85
2018-06-02 10:20:02.635315     | custom:v31           | running    | 1571.78 | #1 | running    | 16.0% |  576.76 | #2 | running    | 15.7% | 2735.78 | #3 | running    | 15.0% |  930.84 | #4 | running    | 14.5% | 1802.20 | #5 | running    | 15.4% | 1813.32
2018-06-02 10:25:03.100454     | custom:v31           | running    | 1596.00 | #1 | running    | 16.9% |  594.69 | #2 | running    | 16.6% | 2740.88 | #3 | running    | 16.4% |  965.95 | #4 | running    | 15.9% | 1852.14 | #5 | running    | 16.5% | 1826.36
2018-06-02 10:30:02.573663     | custom:v31           | running    | 1637.25 | #1 | running    | 18.3% |  732.95 | #2 | running    | 18.0% | 2736.52 | #3 | running    | 17.3% |  988.50 | #4 | running    | 16.8% | 1869.87 | #5 | running    | 17.6% | 1858.40
2018-06-02 10:35:03.051038     | custom:v31           | running    | 1669.72 | #1 | running    | 19.3% |  801.95 | #2 | running    | 18.9% | 2741.23 | #3 | running    | 18.2% | 1007.20 | #4 | running    | 17.7% | 1890.74 | #5 | running    | 18.9% | 1907.49
2018-06-02 10:40:02.557941     | custom:v31           | running    | 1716.29 | #1 | running    | 20.2% |  902.46 | #2 | running    | 20.3% | 2747.25 | #3 | running    | 19.7% | 1065.47 | #4 | running    | 18.6% | 1927.42 | #5 | running    | 20.1% | 1938.87
2018-06-02 10:45:03.040828     | custom:v31           | running    | 1749.99 | #1 | running    | 21.1% |  971.26 | #2 | running    | 21.2% | 2748.73 | #3 | running    | 20.7% | 1099.24 | #4 | running    | 20.0% | 1956.19 | #5 | running    | 21.0% | 1974.55
2018-06-02 10:50:02.512895     | custom:v31           | running    | 1779.37 | #1 | running    | 22.7% | 1031.52 | #2 | running    | 22.2% | 2758.95 | #3 | running    | 21.8% | 1138.64 | #4 | running    | 20.9% | 1976.83 | #5 | running    | 22.0% | 1990.89
2018-06-02 10:55:03.025101     | custom:v31           | running    | 1823.72 | #1 | running    | 23.7% | 1166.55 | #2 | running    | 23.1% | 2762.72 | #3 | running    | 22.7% | 1161.29 | #4 | running    | 21.8% | 1996.29 | #5 | running    | 23.3% | 2031.76
2018-06-02 11:00:02.564477     | custom:v31           | running    | 1849.15 | #1 | running    | 24.6% | 1190.15 | #2 | running    | 24.5% | 2763.38 | #3 | running    | 23.8% | 1195.51 | #4 | running    | 23.1% | 2023.55 | #5 | running    | 24.4% | 2073.16
2018-06-02 11:05:03.029128     | custom:v31           | running    | 1880.80 | #1 | running    | 26.0% | 1268.24 | #2 | running    | 25.4% | 2764.02 | #3 | running    | 24.7% | 1220.57 | #4 | running    | 24.0% | 2040.47 | #5 | running    | 25.4% | 2110.68
2018-06-02 11:10:02.476667     | custom:v31           | running    | 1898.42 | #1 | running    | 26.9% | 1260.32 | #2 | running    | 26.8% | 2763.95 | #3 | running    | 25.7% | 1243.28 | #4 | running    | 24.9% | 2055.85 | #5 | running    | 26.3% | 2168.68
2018-06-02 11:15:02.948618     | custom:v31           | running    | 1942.13 | #1 | running    | 27.8% | 1364.22 | #2 | running    | 27.7% | 2787.77 | #3 | running    | 27.1% | 1259.49 | #4 | running    | 26.2% | 2078.16 | #5 | running    | 27.5% | 2221.00
2018-06-02 11:20:03.465426     | custom:v31           | running    | 1983.41 | #1 | running    | 29.2% | 1491.30 | #2 | running    | 29.0% | 2788.82 | #3 | running    | 28.1% | 1285.31 | #4 | running    | 27.1% | 2092.14 | #5 | running    | 28.4% | 2259.50
2018-06-02 11:25:02.933539     | custom:v31           | running    | 2086.26 | #1 | running    | 30.4% | 1906.12 | #2 | running    | 29.9% | 2789.61 | #3 | running    | 29.1% | 1313.95 | #4 | running    | 28.0% | 2104.93 | #5 | running    | 29.6% | 2316.68
2018-06-02 11:30:03.418400     | custom:v31           | running    | 2235.19 | #1 | running    | 31.4% | 2577.61 | #2 | running    | 31.2% | 2791.23 | #3 | running    | 30.1% | 1335.00 | #4 | running    | 29.4% | 2115.62 | #5 | running    | 30.6% | 2356.48
2018-06-02 11:35:02.851378     | custom:v31           | running    | 2418.99 | #1 | running    | 32.6% | 3393.27 | #2 | running    | 32.2% | 2809.75 | #3 | running    | 31.1% | 1354.74 | #4 | running    | 30.3% | 2117.99 | #5 | running    | 31.8% | 2419.22
2018-06-02 11:40:03.364656     | custom:v31           | running    | 2563.50 | #1 | running    | 33.6% | 4066.00 | #2 | running    | 33.1% | 2812.06 | #3 | running    | 32.1% | 1374.10 | #4 | running    | 31.2% | 2127.57 | #5 | running    | 32.4% | 2437.79
2018-06-02 11:45:02.822471     | custom:v31           | running    | 2688.86 | #1 | running    | 34.8% | 4586.61 | #2 | running    | 34.5% | 2835.49 | #3 | running    | 33.1% | 1394.17 | #4 | running    | 32.1% | 2136.45 | #5 | running    | 33.8% | 2491.57
2018-06-02 11:50:03.282397     | custom:v31           | running    | 2768.97 | #1 | running    | 35.8% | 4871.93 | #2 | running    | 35.5% | 2872.56 | #3 | running    | 34.5% | 1410.75 | #4 | running    | 33.5% | 2148.19 | #5 | running    | 34.9% | 2541.43
2018-06-02 11:55:02.738305     | custom:v31           | running    | 2858.61 | #1 | running    | 37.0% | 5184.41 | #2 | running    | 36.6% | 2930.06 | #3 | running    | 35.5% | 1427.88 | #4 | running    | 34.4% | 2157.11 | #5 | running    | 36.0% | 2593.57
2018-06-02 12:00:03.208916     | custom:v31           | running    | 2905.12 | #1 | running    | 37.7% | 5352.88 | #2 | running    | 37.8% | 2940.73 | #3 | running    | 36.4% | 1438.33 | #4 | running    | 35.3% | 2163.89 | #5 | running    | 36.9% | 2629.78
2018-06-02 12:05:02.782516     | custom:v31           | running    | 2967.08 | #1 | running    | 39.2% | 5563.50 | #2 | running    | 38.9% | 2961.74 | #3 | running    | 37.7% | 1463.73 | #4 | running    | 36.2% | 2173.86 | #5 | running    | 38.1% | 2672.60
2018-06-02 12:10:03.332528     | custom:v31           | running    | 3022.38 | #1 | running    | 40.3% | 5773.31 | #2 | running    | 40.0% | 2957.30 | #3 | running    | 38.8% | 1492.04 | #4 | running    | 37.5% | 2184.51 | #5 | running    | 39.1% | 2704.72
