2018-06-02 18:15:03.311115     | custom:v32           | running    |  409.05 | #1 | running    | 2.3%  |   31.38 | #2 | running    | 2.3%  |    0.00 | #3 | running    | 2.0%  |   49.68 | #4 | running    | 2.5%  | 1167.93 | #5 | running    | 2.5%  |  796.24
2018-06-02 18:20:02.794345     | custom:v32           | running    |  539.70 | #1 | running    | 3.2%  |   67.51 | #2 | running    | 3.6%  |    0.00 | #3 | running    | 2.9%  |  429.98 | #4 | running    | 3.2%  | 1142.01 | #5 | running    | 3.6%  | 1059.02
2018-06-02 18:25:03.332800     | custom:v32           | running    |  651.06 | #1 | running    | 4.5%  |  394.36 | #2 | running    | 4.8%  |   31.92 | #3 | running    | 4.3%  |  496.00 | #4 | running    | 4.3%  | 1153.54 | #5 | running    | 4.6%  | 1179.46
2018-06-02 18:30:02.809896     | custom:v32           | running    |  784.01 | #1 | running    | 5.4%  |  564.72 | #2 | running    | 5.5%  |  424.11 | #3 | running    | 5.6%  |  533.18 | #4 | running    | 5.7%  | 1195.86 | #5 | running    | 5.7%  | 1202.18
2018-06-02 18:35:03.287340     | custom:v32           | running    |  858.37 | #1 | running    | 6.3%  |  655.13 | #2 | running    | 6.9%  |  569.33 | #3 | running    | 6.7%  |  568.56 | #4 | running    | 6.6%  | 1229.86 | #5 | running    | 6.8%  | 1268.96
2018-06-02 18:40:02.800281     | custom:v32           | running    |  964.61 | #1 | running    | 7.7%  |  911.32 | #2 | running    | 7.8%  |  717.05 | #3 | running    | 7.6%  |  613.53 | #4 | running    | 8.0%  | 1259.02 | #5 | running    | 7.7%  | 1322.12
2018-06-02 18:45:03.314269     | custom:v32           | running    | 1075.23 | #1 | running    | 8.8%  | 1241.39 | #2 | running    | 9.1%  |  811.43 | #3 | running    | 8.6%  |  615.01 | #4 | running    | 8.9%  | 1296.76 | #5 | running    | 8.8%  | 1411.55
2018-06-02 18:50:02.793545     | custom:v32           | running    | 1104.73 | #1 | running    | 9.7%  | 1219.69 | #2 | running    | 10.0% |  844.82 | #3 | running    | 9.6%  |  669.07 | #4 | running    | 9.9%  | 1321.93 | #5 | running    | 9.8%  | 1468.12
2018-06-02 18:55:03.296110     | custom:v32           | running    | 1161.35 | #1 | running    | 11.0% | 1180.77 | #2 | running    | 11.2% |  969.65 | #3 | running    | 10.9% |  757.64 | #4 | running    | 11.2% | 1354.20 | #5 | running    | 10.8% | 1544.48
2018-06-02 19:00:02.767118     | custom:v32           | running    | 1221.82 | #1 | running    | 11.9% | 1154.04 | #2 | running    | 12.4% | 1197.12 | #3 | running    | 11.8% |  796.93 | #4 | running    | 12.1% | 1372.77 | #5 | running    | 11.9% | 1588.22
2018-06-02 19:05:03.288345     | custom:v32           | running    | 1283.20 | #1 | running    | 13.3% | 1202.90 | #2 | running    | 13.2% | 1321.27 | #3 | running    | 12.7% |  833.14 | #4 | running    | 13.0% | 1405.33 | #5 | running    | 12.9% | 1653.36
2018-06-02 19:10:02.806562     | custom:v32           | running    | 1359.11 | #1 | running    | 14.2% | 1187.39 | #2 | running    | 14.7% | 1492.09 | #3 | running    | 13.9% |  910.95 | #4 | running    | 14.4% | 1435.78 | #5 | running    | 14.0% | 1769.32
2018-06-02 19:15:03.281993     | custom:v32           | running    | 1392.01 | #1 | running    | 15.5% | 1160.48 | #2 | running    | 15.8% | 1604.61 | #3 | running    | 15.3% |  934.98 | #4 | running    | 15.3% | 1453.08 | #5 | running    | 14.6% | 1806.89
2018-06-02 19:20:02.878735     | custom:v32           | running    | 1457.90 | #1 | running    | 16.4% | 1142.45 | #2 | running    | 16.9% | 1778.65 | #3 | running    | 16.3% | 1006.66 | #4 | running    | 16.7% | 1485.94 | #5 | running    | 16.0% | 1875.80
2018-06-02 19:25:03.354996     | custom:v32           | running    | 1509.81 | #1 | running    | 17.8% | 1133.84 | #2 | running    | 18.0% | 1882.14 | #3 | running    | 17.3% | 1032.14 | #4 | running    | 17.8% | 1550.93 | #5 | running    | 17.1% | 1949.99
2018-06-02 19:30:02.841948     | custom:v32           | running    | 1606.07 | #1 | running    | 18.5% | 1481.22 | #2 | running    | 18.9% | 1908.50 | #3 | running    | 18.2% | 1053.31 | #4 | running    | 18.7% | 1568.70 | #5 | running    | 18.1% | 2018.64
2018-06-02 19:35:03.396388     | custom:v32           | running    | 1743.33 | #1 | running    | 19.8% | 2000.79 | #2 | running    | 20.2% | 1966.08 | #3 | running    | 19.6% | 1090.64 | #4 | running    | 19.6% | 1589.85 | #5 | running    | 19.1% | 2069.30
2018-06-02 19:40:02.970671     | custom:v32           | running    | 1902.41 | #1 | running    | 21.1% | 2650.12 | #2 | running    | 20.9% | 1989.92 | #3 | running    | 20.5% | 1111.47 | #4 | running    | 21.0% | 1620.07 | #5 | running    | 20.1% | 2140.46
2018-06-02 19:45:03.444286     | custom:v32           | running    | 2101.34 | #1 | running    | 22.1% | 3480.53 | #2 | running    | 22.4% | 2049.28 | #3 | running    | 21.4% | 1131.69 | #4 | running    | 21.9% | 1633.76 | #5 | running    | 21.2% | 2211.47
2018-06-02 19:50:02.916745     | custom:v32           | running    | 2266.00 | #1 | running    | 23.2% | 4126.45 | #2 | running    | 23.4% | 2103.68 | #3 | running    | 22.8% | 1163.59 | #4 | running    | 23.2% | 1661.37 | #5 | running    | 22.3% | 2274.89
2018-06-02 19:55:03.433280     | custom:v32           | running    | 2410.11 | #1 | running    | 24.4% | 4740.71 | #2 | running    | 24.6% | 2129.44 | #3 | running    | 23.6% | 1185.97 | #4 | running    | 24.1% | 1675.49 | #5 | running    | 23.3% | 2318.94
2018-06-02 20:00:02.954023     | custom:v32           | running    | 2530.98 | #1 | running    | 25.5% | 5221.72 | #2 | running    | 25.3% | 2160.93 | #3 | running    | 24.6% | 1204.70 | #4 | running    | 25.5% | 1700.85 | #5 | running    | 24.2% | 2366.71
2018-06-02 20:05:03.448602     | custom:v32           | running    | 2647.39 | #1 | running    | 26.6% | 5578.35 | #2 | running    | 26.7% | 2252.61 | #3 | running    | 26.0% | 1265.16 | #4 | running    | 26.4% | 1717.06 | #5 | running    | 25.4% | 2423.77
2018-06-02 20:10:02.936588     | custom:v32           | running    | 2720.83 | #1 | running    | 27.6% | 5830.02 | #2 | running    | 27.9% | 2307.37 | #3 | running    | 27.0% | 1293.27 | #4 | running    | 27.4% | 1734.18 | #5 | running    | 26.3% | 2465.89
2018-06-02 20:15:03.423659     | custom:v32           | running    | 2789.49 | #1 | running    | 28.7% | 6006.04 | #2 | running    | 29.0% | 2376.59 | #3 | running    | 27.9% | 1309.55 | #4 | running    | 28.8% | 1751.46 | #5 | running    | 27.3% | 2503.82
2018-06-02 20:20:02.901729     | custom:v32           | running    | 2855.12 | #1 | running    | 29.9% | 6194.16 | #2 | running    | 30.2% | 2449.20 | #3 | running    | 28.8% | 1326.04 | #4 | running    | 29.7% | 1765.17 | #5 | running    | 28.6% | 2557.80
2018-06-02 20:25:03.369273     | custom:v32           | running    | 2905.58 | #1 | running    | 30.9% | 6324.19 | #2 | running    | 31.1% | 2495.04 | #3 | running    | 30.2% | 1351.41 | #4 | running    | 30.6% | 1773.29 | #5 | running    | 29.3% | 2583.98
