2018-06-03 05:25:02.701244     | custom:v33           | running    |  207.65 | #1 | rebooting  |       | pending | #2 | running    | 2.3%  |    9.23 | #3 | running    | 2.5%  |  488.18 | #4 | running    | 2.4%  |  333.19 | #5 | running    | 2.3%  |    0.00
2018-06-03 05:30:03.399449     | custom:v33           | running    |  341.37 | #1 | starting   | N/A   | pending | #2 | running    | 3.2%  |   21.93 | #3 | running    | 3.6%  |  428.71 | #4 | running    | 3.4%  |  914.85 | #5 | running    | 3.2%  |    0.00
2018-06-03 05:35:03.044061     | custom:v33           | running    |  685.85 | #1 | running    | 0.7%  | 1510.24 | #2 | running    | 4.3%  |  547.55 | #3 | running    | 4.6%  |  445.67 | #4 | running    | 4.6%  |  925.78 | #5 | running    | 4.5%  |    0.00
2018-06-03 05:40:02.673516     | custom:v33           | running    |  616.53 | #1 | running    | 2.8%  | 1047.39 | #2 | running    | 5.7%  |  617.25 | #3 | running    | 5.7%  |  463.10 | #4 | running    | 5.7%  |  954.92 | #5 | running    | 5.4%  |    0.00
2018-06-03 05:45:03.180676     | custom:v33           | running    |  715.82 | #1 | running    | 3.7%  | 1084.01 | #2 | running    | 6.9%  | 1057.42 | #3 | running    | 6.7%  |  488.72 | #4 | running    | 6.6%  |  948.98 | #5 | running    | 6.8%  |    0.00
2018-06-03 05:50:02.794457     | custom:v33           | running    |  945.11 | #1 | running    | 4.8%  | 2098.88 | #2 | running    | 7.7%  | 1158.50 | #3 | running    | 7.6%  |  499.95 | #4 | running    | 7.9%  |  968.24 | #5 | running    | 7.7%  |    0.00
2018-06-03 05:55:03.304082     | custom:v33           | running    |  956.10 | #1 | running    | 6.1%  | 1886.38 | #2 | running    | 9.1%  | 1361.94 | #3 | running    | 9.0%  |  530.83 | #4 | running    | 8.9%  | 1001.32 | #5 | running    | 8.6%  |    0.00
2018-06-03 06:00:02.830690     | custom:v33           | running    |  983.75 | #1 | running    | 7.0%  | 1782.53 | #2 | running    | 9.9%  | 1552.05 | #3 | running    | 9.9%  |  554.45 | #4 | running    | 9.8%  | 1029.71 | #5 | running    | 9.9%  |    0.00
2018-06-03 06:05:03.357463     | custom:v33           | running    | 1019.93 | #1 | running    | 8.2%  | 1769.73 | #2 | running    | 11.2% | 1687.02 | #3 | running    | 10.8% |  577.68 | #4 | running    | 11.2% | 1065.21 | #5 | running    | 10.8% |    0.00
2018-06-03 06:10:03.020115     | custom:v33           | running    | 1277.32 | #1 | running    | 9.5%  | 2877.57 | #2 | running    | 12.2% | 1791.24 | #3 | running    | 12.3% |  615.50 | #4 | running    | 12.4% | 1102.28 | #5 | running    | 12.2% |    0.00
2018-06-03 06:15:02.564076     | custom:v33           | running    | 1641.15 | #1 | running    | 10.6% | 4579.73 | #2 | running    | 13.1% | 1856.83 | #3 | running    | 13.3% |  631.15 | #4 | running    | 13.3% | 1138.04 | #5 | running    | 13.1% |    0.00
2018-06-03 06:20:03.132398     | custom:v33           | running    | 1828.72 | #1 | running    | 11.7% | 5393.48 | #2 | running    | 14.5% | 1938.31 | #3 | running    | 14.2% |  646.86 | #4 | running    | 14.2% | 1164.96 | #5 | running    | 14.4% |    0.00
2018-06-03 06:25:03.217469     | custom:v33           | running    | 1939.22 | #1 | running    | 12.8% | 5852.78 | #2 | running    | 15.5% | 1973.99 | #3 | running    | 15.5% |  670.04 | #4 | running    | 15.5% | 1199.28 | #5 | running    | 15.3% |    0.00
2018-06-03 06:30:02.511087     | custom:v33           | running    | 2043.67 | #1 | running    | 14.0% | 6273.03 | #2 | running    | 16.4% | 1985.59 | #3 | running    | 16.4% |  684.81 | #4 | running    | 16.6% | 1274.92 | #5 | running    | 16.2% |    0.00
2018-06-03 06:35:03.012808     | custom:v33           | running    | 2096.94 | #1 | running    | 15.1% | 6487.02 | #2 | running    | 17.3% | 2001.56 | #3 | running    | 17.8% |  706.93 | #4 | running    | 17.5% | 1289.18 | #5 | running    | 17.6% |    0.00
2018-06-03 06:40:02.597524     | custom:v33           | running    | 2154.11 | #1 | running    | 16.2% | 6709.75 | #2 | running    | 18.8% | 2013.89 | #3 | running    | 18.7% |  721.40 | #4 | running    | 18.9% | 1325.53 | #5 | running    | 18.5% |    0.00
2018-06-03 06:45:03.125874     | custom:v33           | running    | 2200.28 | #1 | running    | 17.3% | 6868.57 | #2 | running    | 19.9% | 2036.17 | #3 | running    | 20.1% |  754.28 | #4 | running    | 19.8% | 1342.39 | #5 | running    | 19.8% |    0.00
2018-06-03 06:50:03.337689     | custom:v33           | running    | 2240.83 | #1 | running    | 18.5% | 6976.92 | #2 | running    | 20.9% | 2046.94 | #3 | running    | 21.0% |  768.28 | #4 | running    | 20.8% | 1412.00 | #5 | running    | 20.7% |    0.00
2018-06-03 06:55:02.894722     | custom:v33           | running    | 2274.24 | #1 | running    | 19.6% | 7045.87 | #2 | running    | 22.2% | 2060.34 | #3 | running    | 21.9% |  781.23 | #4 | running    | 21.9% | 1483.74 | #5 | running    | 22.1% |    0.00
2018-06-03 07:00:03.389965     | custom:v33           | running    | 2308.76 | #1 | running    | 20.7% | 7127.31 | #2 | running    | 23.2% | 2068.48 | #3 | running    | 23.4% |  840.77 | #4 | running    | 23.3% | 1507.26 | #5 | running    | 23.0% |    0.00
2018-06-03 07:05:02.865892     | custom:v33           | running    | 2332.84 | #1 | running    | 21.8% | 7194.59 | #2 | running    | 24.2% | 2078.26 | #3 | running    | 24.1% |  866.70 | #4 | running    | 24.3% | 1524.66 | #5 | running    | 23.9% |    0.00
2018-06-03 07:10:03.487751     | custom:v33           | running    | 2354.91 | #1 | running    | 23.0% | 7254.03 | #2 | running    | 25.1% | 2085.08 | #3 | running    | 25.6% |  893.70 | #4 | running    | 25.2% | 1541.76 | #5 | running    | 25.2% |    0.00
