2018-06-04 06:55:03.196767     | custom:v35           | running    |  236.13 | #1 | running    | 1.0%  |    0.00 | #2 | running    | 0.9%  |    0.00 | #3 | running    | 1.0%  |    0.00 | #4 | running    | 1.2%  | 1180.63 | #5 | running    | 1.0%  |    0.00
2018-06-04 07:00:02.916354     | custom:v35           | running    |  737.53 | #1 | running    | 1.8%  |    0.00 | #2 | running    | 2.3%  | 1042.14 | #3 | running    | 2.3%  |  649.87 | #4 | running    | 2.2%  | 1120.45 | #5 | running    | 2.2%  |  875.19
2018-06-04 07:05:03.495033     | custom:v35           | running    |  915.77 | #1 | running    | 3.2%  |    0.00 | #2 | running    | 3.4%  | 1632.28 | #3 | running    | 3.2%  |  545.99 | #4 | running    | 3.3%  | 1130.43 | #5 | running    | 3.3%  | 1270.17
2018-06-04 07:10:03.105121     | custom:v35           | running    |  967.73 | #1 | running    | 4.1%  |    0.00 | #2 | running    | 4.5%  | 1820.72 | #3 | running    | 4.4%  |  546.55 | #4 | running    | 4.4%  | 1192.97 | #5 | running    | 4.4%  | 1278.42
2018-06-04 07:15:02.828310     | custom:v35           | running    |  996.32 | #1 | running    | 5.0%  |   14.35 | #2 | running    | 5.6%  | 1942.86 | #3 | running    | 5.0%  |  533.81 | #4 | running    | 5.3%  | 1208.85 | #5 | running    | 5.5%  | 1281.72
2018-06-04 07:25:03.115023     | custom:v35           | running    |  976.24 | #1 | running    | 2.3%  |  421.51 | #2 | running    | 2.0%  | 1893.10 | #3 | running    | 1.1%  |    0.00 | #4 | running    | 2.0%  | 1099.72 | #5 | running    | 0.7%  | 1466.87
2018-06-04 07:30:02.949664     | custom:v35           | running    | 1132.11 | #1 | running    | 3.4%  | 1458.73 | #2 | running    | 3.2%  | 1651.23 | #3 | running    | 2.9%  |  388.70 | #4 | running    | 3.2%  |  939.23 | #5 | running    | 2.8%  | 1222.66
2018-06-04 07:35:02.729640     | custom:v35           | running    | 1367.98 | #1 | running    | 4.3%  | 2410.52 | #2 | running    | 4.3%  | 1801.14 | #3 | running    | 4.0%  |  400.66 | #4 | running    | 4.1%  |  893.39 | #5 | running    | 3.8%  | 1334.19
2018-06-04 07:40:03.276866     | custom:v35           | running    | 1411.02 | #1 | running    | 5.7%  | 2190.77 | #2 | running    | 5.5%  | 2098.57 | #3 | running    | 5.1%  |  404.37 | #4 | running    | 5.4%  |  907.01 | #5 | running    | 4.8%  | 1454.39
2018-06-04 07:45:02.998789     | custom:v35           | running    | 1389.25 | #1 | running    | 6.6%  | 1970.08 | #2 | running    | 6.2%  | 2182.15 | #3 | running    | 6.2%  |  406.00 | #4 | running    | 6.3%  |  919.75 | #5 | running    | 5.9%  | 1468.26
2018-06-04 07:50:02.785138     | custom:v35           | running    | 1380.20 | #1 | running    | 7.9%  | 1813.56 | #2 | running    | 7.5%  | 2247.12 | #3 | running    | 7.2%  |  406.88 | #4 | running    | 7.3%  |  955.31 | #5 | running    | 6.7%  | 1478.16
2018-06-04 07:55:03.290249     | custom:v35           | running    | 1536.62 | #1 | running    | 9.0%  | 2326.83 | #2 | running    | 8.8%  | 2391.54 | #3 | running    | 8.4%  |  407.48 | #4 | running    | 8.5%  |  995.00 | #5 | running    | 8.0%  | 1562.23
