2018-05-26 16:15:02.606337     | custom:v14           | running    |  890.89 | #1 | running    | 2.0%  |  174.60 | #2 | running    | 2.3%  |  128.43 | #3 | running    | 2.0%  | 2762.65 | #4 | running    | 2.3%  |  244.78 | #5 | running    | 2.4%  | 1143.98
2018-05-26 16:20:03.073047     | custom:v14           | running    | 1159.02 | #1 | running    | 2.9%  |  287.17 | #2 | running    | 3.5%  | 1105.61 | #3 | running    | 3.2%  | 2288.25 | #4 | running    | 3.2%  |  808.03 | #5 | running    | 3.5%  | 1306.04
2018-05-26 16:25:02.457046     | custom:v14           | running    | 1861.11 | #1 | running    | 4.2%  | 3531.97 | #2 | running    | 4.6%  |  961.42 | #3 | running    | 4.1%  | 2396.56 | #4 | running    | 4.3%  | 1084.29 | #5 | running    | 4.5%  | 1331.32
2018-05-26 16:30:02.916145     | custom:v14           | running    | 2013.86 | #1 | running    | 5.0%  | 3844.90 | #2 | running    | 5.7%  | 1178.88 | #3 | running    | 5.5%  | 2523.01 | #4 | running    | 5.5%  | 1151.85 | #5 | running    | 5.5%  | 1370.65
2018-05-26 16:35:03.305478     | custom:v14           | running    | 2010.21 | #1 | running    | 6.4%  | 3507.78 | #2 | running    | 6.7%  | 1320.63 | #3 | running    | 6.5%  | 2624.04 | #4 | running    | 6.4%  | 1194.86 | #5 | running    | 6.6%  | 1403.74
2018-05-26 16:40:02.847185     | custom:v14           | running    | 2021.42 | #1 | running    | 7.3%  | 3287.89 | #2 | running    | 7.5%  | 1407.99 | #3 | running    | 7.4%  | 2679.05 | #4 | running    | 7.7%  | 1255.12 | #5 | running    | 7.6%  | 1477.05
2018-05-26 16:45:03.223837     | custom:v14           | running    | 2047.86 | #1 | running    | 8.6%  | 3019.82 | #2 | running    | 9.0%  | 1562.75 | #3 | running    | 8.4%  | 2762.72 | #4 | running    | 8.7%  | 1315.50 | #5 | running    | 8.6%  | 1578.50
2018-05-26 16:50:02.608240     | custom:v14           | running    | 2272.69 | #1 | running    | 9.6%  | 3752.86 | #2 | running    | 10.1% | 1698.24 | #3 | running    | 9.8%  | 2831.89 | #4 | running    | 10.0% | 1371.41 | #5 | running    | 9.7%  | 1709.04
2018-05-26 16:55:02.983465     | custom:v14           | running    | 2348.40 | #1 | running    | 10.9% | 3752.97 | #2 | running    | 11.2% | 1924.75 | #3 | running    | 10.8% | 2885.11 | #4 | running    | 11.2% | 1441.87 | #5 | running    | 10.6% | 1737.30
2018-05-26 17:00:02.498245     | custom:v14           | running    | 2610.31 | #1 | running    | 12.0% | 4825.42 | #2 | running    | 12.1% | 2026.31 | #3 | running    | 11.8% | 2910.40 | #4 | running    | 12.1% | 1474.03 | #5 | running    | 11.8% | 1815.40
2018-05-26 17:05:02.942897     | custom:v14           | running    | 2823.50 | #1 | running    | 13.1% | 5632.72 | #2 | running    | 13.4% | 2136.41 | #3 | running    | 13.1% | 2934.32 | #4 | running    | 13.0% | 1502.03 | #5 | running    | 12.7% | 1912.01
2018-05-26 17:10:03.352514     | custom:v14           | running    | 2938.60 | #1 | running    | 14.2% | 6023.01 | #2 | running    | 14.2% | 2187.51 | #3 | running    | 14.1% | 2961.03 | #4 | running    | 14.3% | 1553.35 | #5 | running    | 13.8% | 1968.12
2018-05-26 17:15:02.733298     | custom:v14           | running    | 3045.07 | #1 | running    | 15.2% | 6395.55 | #2 | running    | 15.5% | 2216.97 | #3 | running    | 15.4% | 2990.66 | #4 | running    | 15.2% | 1596.20 | #5 | running    | 14.9% | 2025.95
2018-05-26 17:20:03.207663     | custom:v14           | running    | 3122.10 | #1 | running    | 16.4% | 6648.78 | #2 | running    | 16.4% | 2229.15 | #3 | running    | 16.3% | 3008.83 | #4 | running    | 16.6% | 1647.34 | #5 | running    | 15.9% | 2076.38
2018-05-26 17:25:02.647963     | custom:v14           | running    | 3164.15 | #1 | running    | 17.4% | 6778.99 | #2 | running    | 17.8% | 2245.30 | #3 | running    | 17.3% | 2991.74 | #4 | running    | 17.5% | 1683.96 | #5 | running    | 17.0% | 2120.74
